binom,Alpha Probs,Nonalpha Probs,ProbAandB
bar and grill,-44.895729660987854,-47.21985864639282,0.9108557733325475
barley and oats,-68.9973276257515,-68.61153000593185,0.4047293461797179
barrels and boxes,-56.26801403425634,-55.51137708313763,0.3193768654271323
beauty and dignity,-53.947914838790894,-54.064475513994694,0.5291072210870076
beauty and truth,-63.47473728656769,-59.3934720158577,0.016605681679708585
beauty and youth,-58.142914682626724,-60.09091371297836,0.8752282924803145
being and existence,-76.24115163087845,-74.6476366519928,0.16888993857823495
belly and chest,-60.21481090784073,-60.87259566783905,0.6587625900936505
black and white,-55.05232967622578,-56.45471723563969,0.8025624848491912
blood and flesh,-73.0046762265265,-68.35218757763505,0.009447725191360912
blood and guts,-51.4213889837265,-56.71655201911926,0.9950092360999204
boats and ships,-56.807834804058075,-57.45292708277702,0.6559036682648889
bodies and faces,-62.71130591630936,-59.38481867313385,0.034673615023274235
body and face,-89.97073850035667,-85.72813132405281,0.014166503874885635
body and head,-97.65088260173798,-95.32493677735329,0.08899681390160089
body and mind,-48.1397782638669,-49.1063110306859,0.7244278655158767
bone and flesh,-69.13425278663635,-67.21376669406891,0.1278073704900796
bone and muscle,-47.7474102973938,-48.865700364112854,0.7536714036502441
bones and skulls,-42.194939779292326,-43.691357013827655,0.8170395113279535
boots and shoes,-61.82435017824173,-61.25864219665527,0.362227774363637
boys and girls,-41.42622184753418,-43.34622886776924,0.8721392165262489
boys and men,-37.36359062232077,-35.77046915329993,0.16894518123111565
bread and butter,-65.75627624776098,-68.8141503855295,0.9551212607492875
bread and cheese,-60.49639093875885,-63.69445949792862,0.9607615289394301
breakfast and dinner,-51.72605622559786,-55.062875993549824,0.9656705706804021
bride and groom,-43.5445510186255,-49.820924282073975,0.998123321284781
brother and mother,-43.078029215335846,-41.31845223903656,0.14684332844819753
brother and sister,-56.27265077410266,-57.870885320415255,0.8317714939777361
brothers and sisters,-57.32486718893051,-61.06762433052063,0.9768594691803177
brush and trees,-57.25742843747139,-50.67173168063164,0.0013780638515173956
Burma and India,-55.27604965120554,-54.511295072734356,0.31761488702547236
cakes and pies,-74.55623573064804,-75.90324521064758,0.7936402847154147
cattle and horses,-55.593845235183835,-55.18797542573884,0.39990287561112364
cause and consequence,-57.1231715696631,-63.463714869576506,0.9982397599567108
cause and effect,-68.130041629076,-74.96117900311947,0.9989215348662673
ceiling and walls,-52.21926909685135,-49.78890869021416,0.08088666909111644
cents and dollars,-64.6293565928936,-61.314518719911575,0.035065655959709244
chair and table,-51.06594330072403,-51.3033304810524,0.5590696608230535
chairs and sofas,-57.812292627524585,-54.031866668956354,0.022304148069498476
chairs and table,-68.9758714735508,-65.81601855158806,0.040704796274343834
characters and situations,-57.17190283536911,-61.24919056892395,0.9833292403641655
charts and maps,-97.15602906048298,-95.09519523754716,0.11296225256061819
chest and stomach,-58.29354181140661,-60.04488669335842,0.8521223506080039
child and husband,-43.19802176952362,-36.44100922346115,0.0011613472003295208
child and wife,-46.09837543964386,-41.34506177902222,0.008549352172986234
childhood and infancy,-71.15853798389435,-68.80093896389008,0.08646365415702617
choice and decision,-63.13504208624363,-63.43956322222948,0.5755473723442692
Christmas and Easter,-48.53571939468384,-51.36026340723038,0.9439878155644429
church and community,-44.177286237478256,-45.513833701610565,0.791921599814996
city and country,-46.08594124764204,-46.96939676254988,0.7075377765772892
city and county,-55.03824456036091,-57.511769369244576,0.9222648433071163
city and state,-44.834949016571045,-44.82105129957199,0.4965256266719881
clarity and precision,-57.63963755965233,-57.58871349692345,0.4872717348408184
classmates and friends,-40.838025987148285,-41.00856229662895,0.5425310510525275
closets and drawers,-53.650812942534685,-51.80421096086502,0.1362723571500193
coat and hat,-73.55078718066216,-74.86412146687508,0.7880705677327531
coffee and sandwiches,-55.08066786080599,-51.919625639915466,0.04065838198868695
coffee and toast,-56.18108820915222,-57.026174783706665,0.6995354247026718
college and school,-45.594316989183426,-44.992083728313446,0.3538329252417555
college and university,-55.121580839157104,-54.335604310035706,0.3130332388530259
color and light,-53.166682954877615,-53.70332204923034,0.6310302396489803
color and texture,-46.19868493080139,-46.89774668216705,0.6679797175514226
colors and forms,-63.832457542419434,-64.72641611099243,0.709706406142841
comfort and ease,-66.35941857099533,-66.67504045367241,0.578256902431628
comings and goings,-42.393384648878964,-55.995537561684614,0.9999987621742571
command and control,-57.65149676799774,-59.72087088227272,0.8878906753857889
Concord and Lexington,-48.0023153424263,-44.36557857692242,0.025662255087918515
concrete and steel,-58.2458330988884,-57.3224932551384,0.28427786714655395
confusion and fear,-47.14166533946991,-45.2416296005249,0.13010442947340817
confusion and turmoil,-74.18418830633163,-72.72436612844467,0.18849452414902312
conscience and religion,-75.77264954149723,-76.64366554655135,0.7049570635290823
contemporary and friend,-59.96708017587662,-58.88662180304527,0.25341928366060357
corruption and crime,-61.60763528198004,-61.253619376569986,0.4124089144227758
costumes and masks,-67.58378519117832,-68.1431462392211,0.6363046862418577
cotton and tobacco,-48.12886115163565,-47.29146732389927,0.30208395773920566
council and governor,-57.43684142827988,-54.99753813445568,0.08022430595086509
counties and towns,-54.30909252166748,-54.774243116378784,0.61423532685124
courage and hope,-44.008488059043884,-44.69371819496155,0.6649050080928919
cousins and uncles,-59.18457310507074,-55.771606385707855,0.031892671143734744
crannies and nooks,-73.24808834958822,-59.690542157157324,1.2942910211811746e-6
cream and peaches,-53.924497336149216,-53.00590805709362,0.2852454255942898
crime and poverty,-48.314131774008274,-47.675754614174366,0.3456134767028773
crime and punishment,-55.025637716054916,-60.55679424107075,0.996054225834579
crime and violence,-52.2128324508667,-52.47927379608154,0.5662190526846601
crops and livestock,-43.65406595915556,-46.918222069740295,0.9631784741601231
cysts and tumors,-62.262991070747375,-64.90376577712595,0.9334401128407493
dairy and poultry,-70.27641142951325,-68.00061685126275,0.09314758247332153
dark and light,-71.45880454778671,-71.19226321578026,0.4337563892184331
dates and events,-61.16452878713608,-64.22276663780212,0.9551368485904996
daughter and son,-60.145151644945145,-58.61834779381752,0.17846180188514174
day and night,-43.21919142268598,-43.077609561383724,0.46466354281715827
days and nights,-51.419156312942505,-51.22836631536484,0.4524466615573641
days and years,-48.99396975338459,-50.52836720645428,0.8226488032705516
death and life,-46.49957121629268,-42.39022784214467,0.016153337425365226
debate and discussion,-59.15620946884155,-57.0500745177269,0.10850196486653345
democracy and liberty,-80.83705693483353,-78.56918388605118,0.09381888288248237
despair and rage,-72.2801023721695,-71.9788960814476,0.4252626219091556
development and research,-65.41678554192185,-60.99892380461097,0.011916281899145923
diagnosis and treatment,-63.781274259090424,-68.48751521110535,0.9910422754275541
diamonds and rubies,-75.70582036674023,-82.32400554418564,0.9986659290394273
dirt and sweat,-55.04977072775364,-54.53082539141178,0.37309888237611916
discussion and thought,-49.728465888649225,-47.36608235165477,0.08608648318831341
distress and pain,-51.450935596600175,-49.76026084460318,0.1556871242813533
dogs and men,-49.54155891845585,-50.93861186163849,0.8017158186472717
doorways and windows,-57.77599859237671,-57.52875065803528,0.4385009917714562
doubts and fears,-54.70971022453159,-53.2381809745566,0.18671028677667775
dreams and plans,-40.34779769182205,-41.74779775738716,0.8021838989627743
ears and eyes,-64.90491023659706,-64.03538486361504,0.29535307160806756
earth and sky,-51.717320919036865,-49.995268523693085,0.15160699102253128
editing and publishing,-54.961647659540176,-51.76970021426678,0.03946988173350865
editor and publisher,-71.14316473156214,-71.81545691937208,0.6620162282403793
education and skill,-44.0269650220871,-43.62599539756775,0.40107939948575166
effort and resources,-40.09817400574684,-42.27410766482353,0.8980674318995835
eggs and ham,-70.14722869446268,-68.43922058062162,0.15342225107232516
elbows and knees,-51.37492272257805,-50.847847282886505,0.3711992532058837
ends and odds,-100.80215436033905,-82.00277437828481,6.847515241795768e-9
energy and money,-70.09462343901396,-68.91076032444835,0.2343583090294652
engineers and scientists,-36.75111625902355,-34.92113606445491,0.13824063257979843
English and German,-51.32306010276079,-53.06043765693903,0.85035365969105
equipment and personnel,-75.25194069370627,-76.79614786803722,0.824075492480674
error and trial,-60.670901879668236,-47.69720442208927,2.320565207240715e-6
errors and omissions,-56.03837603330612,-58.30301386117935,0.905905706992422
evening and morning,-72.36600375175476,-68.67414999008179,0.024319569212807087
everybody and everything,-50.601747035980225,-50.723243951797485,0.5303369199272774
expense and time,-49.23681604862213,-44.65887534618378,0.010171513104073906
eyes and face,-84.28236430883408,-83.49287742376328,0.3122788557596379
eyes and hair,-54.65729749947786,-56.00870022922754,0.7943588627300852
face and figure,-59.11789417266846,-62.91115045547485,0.9779739304602989
facts and figures,-79.72562682628632,-87.87781125307083,0.9997119776540163
faith and life,-54.52074372768402,-54.31233036518097,0.44808444105375994
faith and love,-59.90553852915764,-59.27595189213753,0.3476042725150342
fall and rise,-78.90740922000259,-73.33008989598602,0.0037684372736193506
fall and winter,-84.1233194321394,-85.6482622246258,0.8212651790798062
family and neighborhood,-59.85075384378433,-61.75539630651474,0.8704160590975053
farms and fields,-57.28062003850937,-57.81972312927246,0.6316037491328907
father and mother,-64.22720955312252,-63.76842838525772,0.3872750045192618
father and son,-74.88070200383663,-75.74734990298748,0.7040477171475412
father and uncle,-41.977667570114136,-44.284633815288544,0.9094523394175889
fathers and mothers,-69.79486553370953,-68.95055577158928,0.3006278753995621
feelings and thoughts,-69.62371538951993,-68.90954213996883,0.32867736122012714
feet and hands,-44.489910036325455,-40.64318764209747,0.02090331998418593
feet and legs,-62.44391214847565,-62.09225916862488,0.41298163524944914
female and male,-64.85833366401494,-63.239954413846135,0.16542851270336567
fiction and poetry,-50.45796411507763,-51.11785829323344,0.6592366166413682
field and stream,-58.78843551874161,-57.10952407121658,0.15723966498502864
figures and words,-53.3761420249939,-48.797365725040436,0.010163103706101217
fingers and thumb,-64.71034640073776,-62.46525377035141,0.09577360590979742
fire and light,-67.44929256150499,-69.59036867925897,0.8948319245366355
fire and police,-59.51731490343809,-54.80259257182479,0.008882743985259522
flame and smoke,-55.039285495877266,-53.80131810158491,0.22478998833393446
flames and smoke,-49.63914481550455,-50.238524079322815,0.6455142787331999
flesh and skin,-58.375929206609726,-58.493830502033234,0.5294412272443151
flowers and herbs,-43.05416536331177,-42.96679067611694,0.4781702144276089
flowers and plants,-65.86320438430994,-66.43196489618276,0.6384771205686859
fog and mist,-68.14046251401305,-68.84783271700144,0.669819810622804
food and shelter,-55.58857214450836,-56.11281371116638,0.6281390503679098
force and violence,-41.63626363547519,-42.86368563445285,0.773367045308985
forefinger and thumb,-67.94254922121763,-66.18011645344086,0.14648591455832874
fork and spoon,-63.47615271806717,-58.41682603955269,0.006309767579318808
forms and materials,-53.81661896244623,-54.63369248644449,0.6936147776096797
freedom and security,-54.132870733737946,-57.28493845462799,0.9589901184953912
friends and relations,-61.599536299705505,-64.69656074047089,0.95676983915668945
fruit and nuts,-62.52165559306741,-68.48401416838169,0.9974327733901475
fruits and vegetables,-56.663351917639375,-57.20910029485822,0.6331486206529877
fun and games,-51.94288632273674,-60.249204620718956,0.999753109396207
future and past,-67.89865726232529,-62.340153485536575,0.0038397389117609737
gas and oil,-64.74255937626003,-65.32624504258274,0.6419150364416445
gentlemen and ladies,-84.62921380996704,-79.11472660303116,0.004011832704104969
gin and tonic,-62.54213412292302,-77.10728937387466,0.9999995274658056
glass and steel,-54.69479659199715,-55.91974964737892,0.7729340203922308
god and man,-60.52768291532993,-62.58561052381992,0.886746211854555
goods and services,-67.84125693130773,-73.58613090956351,0.9968110641576832
gratitude and joy,-60.622593998909,-60.211992621421814,0.3987679308815513
groups and individuals,-54.34448802471161,-51.69374644756317,0.06594331749222344
guidance and information,-57.31719806790352,-55.59823266416788,0.15200447419016827
gums and teeth,-54.705311827361584,-49.14474055136088,0.0038318388437478916
hair and skin,-51.56037813425064,-50.45739087462425,0.24918059047552396
hands and knees,-58.53561013129365,-66.05424147844315,0.9994574194883074
head and shoulders,-75.5540589094162,-76.11713829636574,0.6371647511757909
head and tail,-48.40087753534317,-51.38630247116089,0.9519113137288746
health and spirits,-67.90407860279083,-70.36333245784044,0.9212355391025576
hearing and sight,-62.90128370653838,-59.58615660574287,0.03505587094717093
heart and mind,-53.43795106187463,-53.615918565541506,0.5443748161652339
heir and son,-48.77374064922333,-43.92620265483856,0.007786568347705962
help and understanding,-66.55456207320094,-68.15625513345003,0.8322548806572667
history and identity,-68.27727164328098,-68.52568922936916,0.5617869766454981
honey and milk,-59.47078011929989,-57.83538432791829,0.16309253204187185
horses and wagons,-64.80868985503912,-65.0481167435646,0.5595724101238574
houses and shops,-53.339308977127075,-54.4558908091858,0.7533541310799
humility and pride,-51.950491815805435,-50.17144814133644,0.14442126109135645
husband and wife,-57.823366162221646,-61.6387986279442,0.9784465964239399
husbands and wives,-50.053517282009125,-52.64359325170517,0.9302201485249544
ice and snow,-70.13147477433085,-70.14819382876158,0.5041796662474134
ice and water,-73.21491187810898,-71.8716005384922,0.20696603737095043
Illinois and Missouri,-45.87671947479248,-45.72880122065544,0.4630877147510119
improvements and land,-81.62996100634336,-73.45387945882976,2.812229434871922e-4
inclination and time,-62.4767726957798,-53.97040109336376,2.0213520393482846e-4
influence and power,-60.38520541321486,-56.62858462147415,0.022829205523180632
influence and prestige,-54.11871063709259,-53.081531286239624,0.26169460662253374
information and material,-43.97719383239746,-41.59047079086304,0.0841907501052341
ink and paper,-51.627480033785105,-51.886091724038124,0.5642949839439562
iron and wood,-56.55656671524048,-55.75254559516907,0.3091660200362992
jacket and trousers,-58.81226861476898,-59.21162486076355,0.5985329814735515
jams and jellies,-72.33973944187164,-66.85949718207121,0.004151016993108853
jaws and teeth,-79.89613917469978,-81.49107640981674,0.8313096040179718
joy and pleasure,-65.61620389251038,-67.96339078946039,0.912710367258733
July and June,-73.80367809534073,-70.626285135746,0.04002538515310012
kind and quantity,-60.417642652988434,-56.511908024549484,0.019729092852319715
knowledge and skills,-69.3312578201294,-69.10922336578369,0.4447183123944899
labor and money,-65.91301666200161,-64.69986869394779,0.22914452827723691
land and sea,-37.645872719585896,-41.586741611361504,0.9809390556879265
landings and takeoffs,-68.44335079193115,-60.511393673717976,3.589540627003842e-4
law and order,-42.31039832532406,-46.97695483267307,0.9906830239206592
lecturer and writer,-52.03442405164242,-50.36433254182339,0.15841197859198874
left and right,-36.855091750621796,-40.90305411815643,0.9828416379331509
length and quality,-49.656039513647556,-50.41841188073158,0.6818685786125843
length and weight,-64.56096577644348,-66.87712398171425,0.9102064426284318
libraries and museums,-56.888983592391014,-56.076507955789566,0.30736320359077746
life and religion,-50.515927374362946,-50.81883043050766,0.5751520391817826
light and shadow,-56.94783613085747,-60.36103105545044,0.9681143740607584
light and sound,-49.49217622168362,-51.6316391993314,0.8946800188298792
location and size,-72.26957492530346,-71.45362214744091,0.3066234475383912
machinery and power,-72.18335488263983,-72.11353060428519,0.4825510191088722
magazines and newspapers,-43.24388575553894,-41.530330538749695,0.1527031562132259
magic and superstition,-45.25017602741718,-46.09692966938019,0.6998857016930904
mamma and papa,-69.32520375400782,-68.90311241149902,0.3960164187047326
man and nature,-48.373347719199955,-50.528416553046554,0.8961414911606185
man and wife,-55.691129833459854,-61.41303014755249,0.9967371963969156
man and woman,-46.471031069755554,-49.94620260596275,0.9699730080692934
math and science,-53.59832060337067,-55.36882841587067,0.8545208111369214
meaning and origin,-61.462308164685965,-61.572729639708996,0.5275773537836476
men and officers,-87.08581576123834,-82.9727285541594,0.016093946560676347
men and women,-43.28050357103348,-45.80608129501343,0.9259155740720211
methods and principles,-59.87881389085669,-59.78949758235831,0.4776857550471317
minerals and vitamins,-42.42345077171922,-40.087540950626135,0.08819227055791821
misery and pain,-61.78059481360833,-60.3694883955759,0.19605960384685792
money and time,-65.53830377757549,-65.40907160937786,0.46773684757391426
months and years,-58.11667060852051,-60.252809882164,0.8943664228170335
moon and sun,-55.2254478558898,-54.89136743545532,0.41724812649694
morning and night,-45.916130773723125,-43.79209744930267,0.10678276061735388
mother and son,-36.05358889698982,-37.09010052680969,0.7381763621095769
mouth and nostrils,-66.70656123012304,-67.84038107097149,0.7565431480989624
movements and positions,-63.23677961155772,-60.928113769739866,0.09040779823377508
mr. and mrs.,-70.7370274985442,-73.01879435242154,0.9073556779446849
muscles and nerves,-60.894760474562645,-62.29763773083687,0.8026400687301791
names and numbers,-62.26673671603203,-63.339293733239174,0.745082885586604
nature and size,-60.59660107828677,-60.63882278744131,0.5105538594954292
needle and thread,-41.01417934894562,-53.030496299266815,0.9999939552654977
nights and weekends,-64.13962860405445,-64.76892746984959,0.6523304651477433
nitrogen and oxygen,-39.6839312762022,-40.389676198363304,0.6694602623548953
north and south,-57.818902134895325,-57.987935081124306,0.5421579058703327
north and west,-40.334043741226196,-42.57693886756897,0.9040359188730592
nose and throat,-66.70099715143442,-71.1925212778151,0.9889205738061704
novelist and poet,-62.064254611730576,-61.38979843258858,0.33749974698265467
novels and stories,-51.07069934904575,-52.80285346508026,0.8496877479665912
novels and tales,-56.41092260024743,-59.55459575681016,0.9586587014615359
pad and pencil,-72.45572739839554,-72.12207573652267,0.4173523837508605
pain and pressure,-45.26945921778679,-46.28210487961769,0.7335375902184986
pain and shame,-46.555045545101166,-44.95845291018486,0.1684583800375797
paper and pen,-75.0981205701828,-71.00796814262867,0.016461176748193192
peace and quiet,-69.10624036192894,-76.04962831735611,0.999035935623337
pepper and salt,-62.4611609056592,-56.475423879921436,0.0025080537377372117
piano and violin,-65.55438816547394,-63.937551856040955,0.1656416440448519
pitch and volume,-69.03428835864179,-69.20856775785796,0.5434599036921295
place and time,-64.2746305000037,-61.343693383038044,0.05064524908102281
plans and projects,-47.59654486179352,-47.3042870759964,0.4274512137931191
poetry and prose,-63.79400412738323,-63.541841983795166,0.437291393626047
politics and religion,-61.110917776823044,-61.71190848946571,0.6458829329436845
power and resources,-47.65335699915886,-49.97376012802124,0.9105527795017294
pressure and temperature,-53.76155894994736,-52.38918346166611,0.202236321672911
prose and verse,-55.42416489124298,-57.04004019498825,0.834225497974641
radar and radio,-46.41758292913437,-45.378535866737366,0.26133390571518617
radio and television,-69.23905960007687,-70.60097189823864,0.7960703204947995
research and training,-58.04947780072689,-56.83650355041027,0.2291752147554273
rights and wrongs,-46.73801060765982,-57.021594762802124,0.9999658114014198
rock and roll,-48.93076953291893,-59.0312020778656,0.9999589398956878
sailors and soldiers,-77.82691112160683,-76.89199942350388,0.2819293007649896
shoes and socks,-55.01370882987976,-56.035980731248856,0.7354149020054614
shower and tub,-62.11713123321533,-61.498195469379425,0.3500235340048958
sidewalks and streets,-61.31743181310594,-59.950904907193035,0.20318155661712423
sights and sounds,-50.647035360336304,-57.55041861534119,0.9989966261749854
son and wife,-40.35581350326538,-36.37909507751465,0.018402073622703293
south and west,-68.2755783200264,-69.57595881819725,0.7858990132969526
spring and summer,-46.48956918716431,-48.69111371040344,0.9003881238580395
stress and tension,-75.20822437759489,-76.63091071601957,0.8057592041224318
sunrise and sunset,-46.16766709089279,-52.85403546690941,0.9987537489625992
sympathy and understanding,-74.14391007460654,-75.5269050206989,0.7994715710230232
teaching and writing,-59.84943449497223,-59.03498440980911,0.30694302108787663
testament and will,-56.75619775056839,-50.13406503200531,0.001328822025586849
Thursday and Tuesday,-70.96571373939514,-70.2717536687851,0.3331527155803191
Tories and Whigs,-72.58711869339459,-72.11947960476391,0.3851751916710647
turns and twists,-56.831920862197876,-47.78793989866972,1.1808580268925144e-4
vinegar and water,-59.253054797649384,-57.71255713701248,0.1764629412133349
wisdom and wit,-66.76141619682312,-69.58400213718414,0.9438841927984105
