ngram,count
harmonica	and,168121
bonsai	and,60319
and	meadow,135119
comet	and,163518
and	lanterns,131448
cookbook	and,368385
fresco	and,89021
and	sandstorms,12342
harpies	and,19889
and	trumpets,65767
algebra	and,1117913
forest	and,4834385
and	trellis,30127
kite	and,227871
delirium	and,170243
kiwis	and,87073
and	kaleidoscope,17941
constellations	and,179805
and	lantern,62315
and	ocelots,6980
comets	and,185801
slipper	and,62909
and	submarines,142579
and	kite,132514
and	trombone,67205
cello	and,502665
and	raindrop,7811
and	koalas,29851
lions	and,1189276
and	beacon,112611
and	casserole,20047
and	constellations,93564
and	capybaras,4526
and	asteroid,45491
and	harbor,258513
lanterns	and,353063
wolverines	and,59355
pumpkin	and,817505
and	echo,459426
and	carousel,69637
cathedral	and,1093031
kettles	and,87236
perfume	and,517149
quicksand	and,46106
eagle	and,728553
and	comet,80086
and	chisel,112667
quilt	and,580921
and	lava,239568
and	satellites,202226
and	clockwork,32629
and	candlestick,29353
windmill	and,100520
and	inkwell,6569
narwhals	and,9914
zenith	and,97762
and	cactus,120901
toaster	and,212626
stadium	and,2061089
and	bicycle,518322
and	arcade,255343
and	notebook,202715
snowman	and,136103
and	parchment,73722
topaz	and,73854
puddle	and,106661
tulips	and,216572
syntax	and,950714
haystack	and,40022
raindrop	and,11047
and	comets,101737
whales	and,868505
and	algebra,227551
and	dandelion,79707
trellis	and,72417
onion	and,3521640
and	crayons,138147
pianos	and,225464
saxophones	and,52842
pendulum	and,107423
sunflower	and,199457
hedgehogs	and,68442
and	forest,1873475
and	nimbus,16298
and	neuron,59107
and	axolotl,3302
wombats	and,28292
and	cinnamon,1533399
volcanoes	and,364241
and	fresco,22158
and	cellos,32182
zebras	and,117911
and	coral,571640
and	bungalow,24460
and	archway,10583
and	cello,226040
teapot	and,125751
vineyard	and,582819
and	bell,912786
linguist	and,118546
volcano	and,392017
and	hammock,38212
teacup	and,81734
violin	and,1054382
and	honeycomb,70989
and	algorithm,320581
and	botany,97429
jungles	and,200408
swan	and,340138
kaleidoscope	and,34297
and	paperclips,9981
and	carnation,19832
submarines	and,294181
millipede	and,6609
and	cricket,436359
and	kaleidoscopes,2879
and	bonsai,35549
neckties	and,27008
and	glacier,166771
and	meadows,254723
encyclopedia	and,215693
and	gallery,594273
and	parrots,68158
orchard	and,411071
hydrogen	and,1323158
and	foxglove,9548
plow	and,126345
and	compasses,36656
platypuses	and,5183
and	sailboat,17720
and	lighthouse,92150
sloths	and,55800
screwdriver	and,316223
trumpets	and,192845
marimbas	and,9192
waffle	and,109053
and	delirium,97288
koalas	and,74175
vibraphones	and,3737
and	photon,164351
meadow	and,344443
pyramids	and,314658
and	slipper,26155
gingerbread	and,114631
and	equations,333105
and	clarinets,15318
chessboard	and,38491
and	castles,262010
and	cymbals,78823
and	scissors,185423
and	acorns,74156
skyscrapers	and,279009
and	axolotls,2525
and	aardvarks,2930
and	cookbook,118302
headphones	and,1241224
and	didgeridoos,2253
and	anchors,142011
gnome	and,155317
optics	and,888042
sandstorms	and,20905
trombone	and,161151
telescope	and,523395
and	marshmallow,119597
and	magnets,112575
quill	and,161094
