WordA,WordB,CollegeFreq,Sentence,Sentence (WordA and WordB),Sentence (WordB and WordA)
attractions,repulsions,12,He experienced both X and Y which made him very confused.,He experienced both attractions and repulsions which made him very confused.,He experienced both repulsions and attractions which made him very confused.
aunt,uncle,153,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
","Over the summer, Steve stayed with his aunt and uncle at their vacation home near the beach.
","Over the summer, Steve stayed with his uncle and aunt at their vacation home near the beach.
"
aunts,uncles,106,The family reunion had all the X and Y together in one room.,The family reunion had all the aunts and uncles together in one room.,The family reunion had all the uncles and aunts together in one room.
back,shoulders,59,Anthony got his X and Y adjusted by the chiropractor.,Anthony got his back and shoulders adjusted by the chiropractor.,Anthony got his shoulders and back adjusted by the chiropractor.
bacon,eggs,81,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.","On the days Lilly doesn't have work, she makes bacon and eggs for breakfast and reads the paper.","On the days Lilly doesn't have work, she makes eggs and bacon for breakfast and reads the paper."
bar,grill,38,We went to a X and Y in the city last night.,We went to a bar and grill in the city last night.,We went to a grill and bar in the city last night.
barley,oats,25,Susanne prepared X and Y for breakfast everyday for a week.,Susanne prepared barley and oats for breakfast everyday for a week.,Susanne prepared oats and barley for breakfast everyday for a week.
barrels,boxes,12,There were a lot of X and Y that needed to be moved before the event could start.,There were a lot of barrels and boxes that needed to be moved before the event could start.,There were a lot of boxes and barrels that needed to be moved before the event could start.
beauty,dignity,23,The girl had both X and Y but was lacking intelligence.,The girl had both beauty and dignity but was lacking intelligence.,The girl had both dignity and beauty but was lacking intelligence.
beauty,truth,72,I decided that X and Y would be the major themes of the poem I was writing.,I decided that beauty and truth would be the major themes of the poem I was writing.,I decided that truth and beauty would be the major themes of the poem I was writing.
beauty,youth,61,The serum promised X and Y to everyone who used it.,The serum promised beauty and youth to everyone who used it.,The serum promised youth and beauty to everyone who used it.
being,existence,12,The girl questioned her X and Y when she went to her last therapy session.,The girl questioned her being and existence when she went to her last therapy session.,The girl questioned her existence and being when she went to her last therapy session.
belly,chest,14,"Zack said his X and Y were hurting, so his mom took him to the hospital.","Zack said his belly and chest were hurting, so his mom took him to the hospital.","Zack said his chest and belly were hurting, so his mom took him to the hospital."
black,white,2103,Dalmatians found in colors other than X and Y are highly unusual.,Dalmatians found in colors other than black and white are highly unusual.,Dalmatians found in colors other than white and black are highly unusual.
blood,flesh,516,Although Rhonda was not Nick's X and Y he considered her part of his family.,Although Rhonda was not Nick's blood and flesh he considered her part of his family.,Although Rhonda was not Nick's flesh and blood he considered her part of his family.
blood,guts,18,The film showed X and Y which made them very uncomfortable.,The film showed blood and guts which made them very uncomfortable.,The film showed guts and blood which made them very uncomfortable.
boats,ships,23,The pier was full of X and Y ready to take off on an adventure.,The pier was full of boats and ships ready to take off on an adventure.,The pier was full of ships and boats ready to take off on an adventure.
bodies,faces,25,Grant wrote a poem about how everyone's X and Y are beautiful and unique.,Grant wrote a poem about how everyone's bodies and faces are beautiful and unique.,Grant wrote a poem about how everyone's faces and bodies are beautiful and unique.
body,face,90,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.","After visiting many stores, Ann finally found a body and face sunscreen that worked well for her skin.","After visiting many stores, Ann finally found a face and body sunscreen that worked well for her skin."
body,head,160,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.","When drawing people, Suzanne struggles with sketching the body and head because she can never get the proportions right.","When drawing people, Suzanne struggles with sketching the head and body because she can never get the proportions right."
body,mind,761,She talked about the importance of keeping your X and Y super healthy and strong.,She talked about the importance of keeping your body and mind super healthy and strong.,She talked about the importance of keeping your mind and body super healthy and strong.
bone,flesh,67,"After a hard fall, you could see the X and Y of the basketball player's leg.","After a hard fall, you could see the bone and flesh of the basketball player's leg.","After a hard fall, you could see the flesh and bone of the basketball player's leg."
bone,muscle,55,The doctor studied the X and Y of the patient's injured leg.,The doctor studied the bone and muscle of the patient's injured leg.,The doctor studied the muscle and bone of the patient's injured leg.
bones,skulls,18,Scientists study the X and Y of long-extinct animal species.,Scientists study the bones and skulls of long-extinct animal species.,Scientists study the skulls and bones of long-extinct animal species.
boots,shoes,75,My suitcase was full of X and Y which made it exceed the weight limit.,My suitcase was full of boots and shoes which made it exceed the weight limit.,My suitcase was full of shoes and boots which made it exceed the weight limit.
boys,girls,1702,The teacher separated the X and Y into two groups.,The teacher separated the boys and girls into two groups.,The teacher separated the girls and boys into two groups.
boys,men,244,There were a lot of X and Y at the park today.,There were a lot of boys and men at the park today.,There were a lot of men and boys at the park today.
bread,butter,243,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,Brent likes to eat bread and butter for breakfast when he doesn't have a lot of time in the morning.,Brent likes to eat butter and bread for breakfast when he doesn't have a lot of time in the morning.
bread,cheese,98,Xavier brought X and Y to the potluck at the beach.,Xavier brought bread and cheese to the potluck at the beach.,Xavier brought cheese and bread to the potluck at the beach.
breakfast,dinner,50,Molly decided that X and Y are her favorite meals of the day.,Molly decided that breakfast and dinner are her favorite meals of the day.,Molly decided that dinner and breakfast are her favorite meals of the day.
bride,groom,190,I think that the X and Y are very excited about the upcoming wedding.,I think that the bride and groom are very excited about the upcoming wedding.,I think that the groom and bride are very excited about the upcoming wedding.
brother,mother,53,Last week my X and Y came to visit me in my new apartment.,Last week my brother and mother came to visit me in my new apartment.,Last week my mother and brother came to visit me in my new apartment.
brother,sister,457,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,Paul wants to spend time with his brother and sister because he doesn't get to see them very often.,Paul wants to spend time with his sister and brother because he doesn't get to see them very often.
brothers,sisters,1022,When we were younger my X and Y wanted a Beagle puppy.,When we were younger my brothers and sisters wanted a Beagle puppy.,When we were younger my sisters and brothers wanted a Beagle puppy.
brush,trees,33,Amanda loved all the X and Y that surrounded her house.,Amanda loved all the brush and trees that surrounded her house.,Amanda loved all the trees and brush that surrounded her house.
Burma,India,19,They talked about visiting X and Y for their upcoming honeymoon.,They talked about visiting Burma and India for their upcoming honeymoon.,They talked about visiting India and Burma for their upcoming honeymoon.
cakes,pies,21,Hannah had a real sweet tooth for X and Y so she took up baking as a hobby.,Hannah had a real sweet tooth for cakes and pies so she took up baking as a hobby.,Hannah had a real sweet tooth for pies and cakes so she took up baking as a hobby.
cattle,horses,152,"On the ranch, there are X and Y roaming around the green pastures.","On the ranch, there are cattle and horses roaming around the green pastures.","On the ranch, there are horses and cattle roaming around the green pastures."
cause,consequence,11,Finn didn't want to think about the X and Y of him losing his job.,Finn didn't want to think about the cause and consequence of him losing his job.,Finn didn't want to think about the consequence and cause of him losing his job.
cause,effect,630,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.","Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.","Ryan was uncertain about the effect and cause of inflation, so he did some research about it online."
ceiling,walls,84,The painter finished painting the X and Y of all of the bedrooms.,The painter finished painting the ceiling and walls of all of the bedrooms.,The painter finished painting the walls and ceiling of all of the bedrooms.
cents,dollars,118,The boy brought his X and Y to the store to buy an ice cream cone.,The boy brought his cents and dollars to the store to buy an ice cream cone.,The boy brought his dollars and cents to the store to buy an ice cream cone.
chair,table,32,They noticed that the X and Y were knocked over after the earthquake.,They noticed that the chair and table were knocked over after the earthquake.,They noticed that the table and chair were knocked over after the earthquake.
chairs,sofas,32,The hoarder had many X and Y in their living room.,The hoarder had many chairs and sofas in their living room.,The hoarder had many sofas and chairs in their living room.
chairs,table,52,The event planner fixed the X and Y to accommodate all of the wedding guests.,The event planner fixed the chairs and table to accommodate all of the wedding guests.,The event planner fixed the table and chairs to accommodate all of the wedding guests.
characters,situations,31,Cheryl considered the X and Y in the novel she was writing.,Cheryl considered the characters and situations in the novel she was writing.,Cheryl considered the situations and characters in the novel she was writing.
charts,maps,47,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,Dr. Morganstern took out his maps and charts in order to document where he found the last fossil.
chest,stomach,23,Tom felt pain in both his X and Y so he decided to stay home from school.,Tom felt pain in both his chest and stomach so he decided to stay home from school.,Tom felt pain in both his stomach and chest so he decided to stay home from school.
child,husband,19,Rachel lived with her X and Y in a small apartment in New York City.,Rachel lived with her child and husband in a small apartment in New York City.,Rachel lived with her husband and child in a small apartment in New York City.
child,wife,155,Bill wanted to take his X and Y on a tropical vacation.,Bill wanted to take his child and wife on a tropical vacation.,Bill wanted to take his wife and child on a tropical vacation.
childhood,infancy,96,The students watched a video on X and Y in their human development class.,The students watched a video on childhood and infancy in their human development class.,The students watched a video on infancy and childhood in their human development class.
choice,decision,10,It was her X and Y to stay home for the summer instead of traveling through South America.,It was her choice and decision to stay home for the summer instead of traveling through South America.,It was her decision and choice to stay home for the summer instead of traveling through South America.
Christmas,Easter,44,The child decided that X and Y were her favorite holidays.,The child decided that Christmas and Easter were her favorite holidays.,The child decided that Easter and Christmas were her favorite holidays.
church,community,36,Tim has said that his X and Y are very important to him.,Tim has said that his church and community are very important to him.,Tim has said that his community and church are very important to him.
city,country,99,Her love for her X and Y made her want to get into politics.,Her love for her city and country made her want to get into politics.,Her love for her country and city made her want to get into politics.
city,county,292,The meeting had representatives from both the X and Y to discuss policy changes.,The meeting had representatives from both the city and county to discuss policy changes.,The meeting had representatives from both the county and city to discuss policy changes.
city,state,171,He liked his X and Y too much to move away.,He liked his city and state too much to move away.,He liked his state and city too much to move away.
clarity,precision,26,Devin tried to achieve X and Y in everything he did.,Devin tried to achieve clarity and precision in everything he did.,Devin tried to achieve precision and clarity in everything he did.
classmates,friends,12,We have been X and Y all the way from kindergarten to college.,We have been classmates and friends all the way from kindergarten to college.,We have been friends and classmates all the way from kindergarten to college.
closets,drawers,10,Ben needed a lot of X and Y to store all of his clothes.,Ben needed a lot of closets and drawers to store all of his clothes.,Ben needed a lot of drawers and closets to store all of his clothes.
coat,hat,122,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away. ","Once she stepped through the door, she designated a spot for her coat and hat to be safely put away. ","Once she stepped through the door, she designated a spot for her hat and coat to be safely put away. "
coffee,sandwiches,19,The company had X and Y catered for their employees.,The company had coffee and sandwiches catered for their employees.,The company had sandwiches and coffee catered for their employees.
coffee,toast,18,Every morning Karen has X and Y for breakfast before school.,Every morning Karen has coffee and toast for breakfast before school.,Every morning Karen has toast and coffee for breakfast before school.
college,school,279,Matt said that X and Y are not worth his time.,Matt said that college and school are not worth his time.,Matt said that school and college are not worth his time.
college,university,275,Carlos talked about X and Y with his school counselor.,Carlos talked about college and university with his school counselor.,Carlos talked about university and college with his school counselor.
color,light,78,Rob used a lot of X and Y to make his photographs pop.,Rob used a lot of color and light to make his photographs pop.,Rob used a lot of light and color to make his photographs pop.
color,texture,84,Sarah was known for the X and Y she used in her paintings. ,Sarah was known for the color and texture she used in her paintings. ,Sarah was known for the texture and color she used in her paintings. 
colors,forms,29,They read a whole chapter on X and Y in her art class.,They read a whole chapter on colors and forms in her art class.,They read a whole chapter on forms and colors in her art class.
comfort,ease,49,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.","Her parents liked the comfort and ease of flying, so they flew to their friend's wedding.","Her parents liked the ease and comfort of flying, so they flew to their friend's wedding."
comings,goings,131,The school newspaper reported on the X and Y of the student body.,The school newspaper reported on the comings and goings of the student body.,The school newspaper reported on the goings and comings of the student body.
command,control,158,The eldest sibling wanted to X and Y all of their younger siblings.,The eldest sibling wanted to command and control all of their younger siblings.,The eldest sibling wanted to control and command all of their younger siblings.
Concord,Lexington,51,He used to live in both X and Y when he was a teenager.,He used to live in both Concord and Lexington when he was a teenager.,He used to live in both Lexington and Concord when he was a teenager.
concrete,steel,78,The company got a new shipment of X and Y for an upcoming project.,The company got a new shipment of concrete and steel for an upcoming project.,The company got a new shipment of steel and concrete for an upcoming project.
confusion,fear,25,They felt X and Y about what they would do after graduating.,They felt confusion and fear about what they would do after graduating.,They felt fear and confusion about what they would do after graduating.
confusion,turmoil,10,Hannah felt X and Y after her mom gave her some unfortunate news.,Hannah felt confusion and turmoil after her mom gave her some unfortunate news.,Hannah felt turmoil and confusion after her mom gave her some unfortunate news.
conscience,religion,14,Bree is reading a book about the relationship between X and Y in her book club.,Bree is reading a book about the relationship between conscience and religion in her book club.,Bree is reading a book about the relationship between religion and conscience in her book club.
contemporary,friend,12,I learned that my professor was a X and Y of a famous poet.,I learned that my professor was a contemporary and friend of a famous poet.,I learned that my professor was a friend and contemporary of a famous poet.
corruption,crime,15,All of the X and Y in the city made Tony want to move.,All of the corruption and crime in the city made Tony want to move.,All of the crime and corruption in the city made Tony want to move.
costumes,masks,12,Tammy had to buy X and Y for all of the Halloween parties she was going to attend.,Tammy had to buy costumes and masks for all of the Halloween parties she was going to attend.,Tammy had to buy masks and costumes for all of the Halloween parties she was going to attend.
cotton,tobacco,37,The company has sold X and Y for almost twenty years.,The company has sold cotton and tobacco for almost twenty years.,The company has sold tobacco and cotton for almost twenty years.
council,governor,93,She wanted to meet with both the X and Y to discuss some ideas she had.,She wanted to meet with both the council and governor to discuss some ideas she had.,She wanted to meet with both the governor and council to discuss some ideas she had.
counties,towns,25,Fred drove through many X and Y to move to his new house.,Fred drove through many counties and towns to move to his new house.,Fred drove through many towns and counties to move to his new house.
courage,hope,35,It took X and Y to overcome what she had been through.,It took courage and hope to overcome what she had been through.,It took hope and courage to overcome what she had been through.
cousins,uncles,20,Olivia said her X and Y are her favorite family members.,Olivia said her cousins and uncles are her favorite family members.,Olivia said her uncles and cousins are her favorite family members.
crannies,nooks,43,He made sure to dust all of the X and Y throughout the old house.,He made sure to dust all of the crannies and nooks throughout the old house.,He made sure to dust all of the nooks and crannies throughout the old house.
cream,peaches,13,We had X and Y for dessert at the diner down the street.,We had cream and peaches for dessert at the diner down the street.,We had peaches and cream for dessert at the diner down the street.
crime,poverty,20,The study on the link between X and Y was published in the local newspaper.,The study on the link between crime and poverty was published in the local newspaper.,The study on the link between poverty and crime was published in the local newspaper.
crime,punishment,122,The jury needed to consider the X and Y before coming to a final decision.,The jury needed to consider the crime and punishment before coming to a final decision.,The jury needed to consider the punishment and crime before coming to a final decision.
crime,violence,59,The frequent X and Y in the neighborhood had people worried.,The frequent crime and violence in the neighborhood had people worried.,The frequent violence and crime in the neighborhood had people worried.
crops,livestock,38,All of the X and Y needed a lot of water to survive.,All of the crops and livestock needed a lot of water to survive.,All of the livestock and crops needed a lot of water to survive.
cysts,tumors,11,Paul had an appointment with his doctor to check for any X and Y that he might have.,Paul had an appointment with his doctor to check for any cysts and tumors that he might have.,Paul had an appointment with his doctor to check for any tumors and cysts that he might have.
dairy,poultry,13,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,You will often find dairy and poultry close to each other in the refrigerated aisle of the grocery store.,You will often find poultry and dairy close to each other in the refrigerated aisle of the grocery store.
dark,light,271,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,Johanna thought the contrast between dark and light colors in the painting made it interesting to look at.,Johanna thought the contrast between light and dark colors in the painting made it interesting to look at.
dates,events,14,Katrina had many X and Y to attend because she was very popular.,Katrina had many dates and events to attend because she was very popular.,Katrina had many events and dates to attend because she was very popular.
daughter,son,176,"With the holidays approaching, the X and Y needed to shop for presents for their parents.","With the holidays approaching, the daughter and son needed to shop for presents for their parents.","With the holidays approaching, the son and daughter needed to shop for presents for their parents."
day,night,1740,It is harder to tell the difference between X and Y if you can't see.,It is harder to tell the difference between day and night if you can't see.,It is harder to tell the difference between night and day if you can't see.
days,nights,413,Finn spent many X and Y working on writing his novel.,Finn spent many days and nights working on writing his novel.,Finn spent many nights and days working on writing his novel.
days,years,29,It had been X and Y since Molly had seen her cousins.,It had been days and years since Molly had seen her cousins.,It had been years and days since Molly had seen her cousins.
death,life,1060,It is hard to tell the difference between X and Y when you are in purgatory.,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.
debate,discussion,55,"During class, there was X and Y surrounding the controversial current event. ","During class, there was debate and discussion surrounding the controversial current event. ","During class, there was discussion and debate surrounding the controversial current event. "
democracy,liberty,27,Jade's brother talked about X and Y while they ate dinner on the fourth of July.,Jade's brother talked about democracy and liberty while they ate dinner on the fourth of July.,Jade's brother talked about liberty and democracy while they ate dinner on the fourth of July.
despair,rage,16,Annie felt a lot of X and Y so she wanted to talk with a therapist.,Annie felt a lot of despair and rage so she wanted to talk with a therapist.,Annie felt a lot of rage and despair so she wanted to talk with a therapist.
development,research,1280,"The scientist had a lot of X and Y to do, because he had been sick for a long time.","The scientist had a lot of development and research to do, because he had been sick for a long time.","The scientist had a lot of research and development to do, because he had been sick for a long time."
diagnosis,treatment,416,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,Marissa found that her diagnosis and treatment at the hospital were completely different from what she anticipated.,Marissa found that her treatment and diagnosis at the hospital were completely different from what she anticipated.
diamonds,rubies,17,The pirates followed the treasure map to find that X and Y were hidden in the treasure chest.,The pirates followed the treasure map to find that diamonds and rubies were hidden in the treasure chest.,The pirates followed the treasure map to find that rubies and diamonds were hidden in the treasure chest.
dirt,sweat,11,Mike needed to wash the X and Y out of his soccer uniform.,Mike needed to wash the dirt and sweat out of his soccer uniform.,Mike needed to wash the sweat and dirt out of his soccer uniform.
discussion,thought,23,A lot of X and Y went into making the decision to buy this house.,A lot of discussion and thought went into making the decision to buy this house.,A lot of thought and discussion went into making the decision to buy this house.
distress,pain,22,The couple's divorce caused a lot of X and Y for the whole family.,The couple's divorce caused a lot of distress and pain for the whole family.,The couple's divorce caused a lot of pain and distress for the whole family.
dogs,men,23,Her grandma joked that X and Y had a lot in common.,Her grandma joked that dogs and men had a lot in common.,Her grandma joked that men and dogs had a lot in common.
doorways,windows,13,Bill wanted to fix the X and Y before moving into the new home.,Bill wanted to fix the doorways and windows before moving into the new home.,Bill wanted to fix the windows and doorways before moving into the new home.
doubts,fears,67,"She wanted to be a pop star, but her X and Y got in the way of her dream.","She wanted to be a pop star, but her doubts and fears got in the way of her dream.","She wanted to be a pop star, but her fears and doubts got in the way of her dream."
dreams,plans,11,She had X and Y to become a successful scientist.,She had dreams and plans to become a successful scientist.,She had plans and dreams to become a successful scientist.
ears,eyes,282,"Cleo said that her X and Y were bothering her, so she stayed home from work.","Cleo said that her ears and eyes were bothering her, so she stayed home from work.","Cleo said that her eyes and ears were bothering her, so she stayed home from work."
earth,sky,122,Talking about the X and Y was one of Randy's favorite things to do.,Talking about the earth and sky was one of Randy's favorite things to do.,Talking about the sky and earth was one of Randy's favorite things to do.
editing,publishing,11,The company did the X and Y for many well-known books.,The company did the editing and publishing for many well-known books.,The company did the publishing and editing for many well-known books.
editor,publisher,116,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.","In order to finalize all the details, the editor and publisher wanted to have a meeting with the author of the book.","In order to finalize all the details, the publisher and editor wanted to have a meeting with the author of the book."
education,skill,10,They had the X and Y to be a great professor.,They had the education and skill to be a great professor.,They had the skill and education to be a great professor.
effort,resources,11,It would take a lot of X and Y to put on this fundraiser.,It would take a lot of effort and resources to put on this fundraiser.,It would take a lot of resources and effort to put on this fundraiser.
eggs,ham,56,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,All she wanted to eat was eggs and ham but she didn't have either item in her refrigerator.,All she wanted to eat was ham and eggs but she didn't have either item in her refrigerator.
elbows,knees,45,I hurt my X and Y when I fell off my longboard.,I hurt my elbows and knees when I fell off my longboard.,I hurt my knees and elbows when I fell off my longboard.
ends,odds,174,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.","The new restaurant was almost ready for the grand opening, but had a few ends and odds to deal with before the big night.","The new restaurant was almost ready for the grand opening, but had a few odds and ends to deal with before the big night."
energy,money,29,Alice said that all of the X and Y that her car needed made her want to sell it. ,Alice said that all of the energy and money that her car needed made her want to sell it. ,Alice said that all of the money and energy that her car needed made her want to sell it. 
engineers,scientists,213,There were a good number of X and Y present at the conference.,There were a good number of engineers and scientists present at the conference.,There were a good number of scientists and engineers present at the conference.
English,German,138,The school held classes in both X and Y so the students could be bilingual.,The school held classes in both English and German so the students could be bilingual.,The school held classes in both German and English so the students could be bilingual.
equipment,personnel,60,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,The company had an appropriate amount of equipment and personnel in order to make sure everyone at the event would be safe.,The company had an appropriate amount of personnel and equipment in order to make sure everyone at the event would be safe.
error,trial,421,They dealt with a lot of X and Y before having a final product.,They dealt with a lot of error and trial before having a final product.,They dealt with a lot of trial and error before having a final product.
errors,omissions,55,Rebecca went over the X and Y that occurred in the paper.,Rebecca went over the errors and omissions that occurred in the paper.,Rebecca went over the omissions and errors that occurred in the paper.
evening,morning,262,Victor plans on spending tomorrow X and Y reading the new book he bought.,Victor plans on spending tomorrow evening and morning reading the new book he bought.,Victor plans on spending tomorrow morning and evening reading the new book he bought.
everybody,everything,82,Noah loved X and Y in his college town.,Noah loved everybody and everything in his college town.,Noah loved everything and everybody in his college town.
expense,time,73,He said that the X and Y of maintaining the property was too much.,He said that the expense and time of maintaining the property was too much.,He said that the time and expense of maintaining the property was too much.
eyes,face,57,The instructions in the lab ask you cover your X and Y when you operate any machinery.,The instructions in the lab ask you cover your eyes and face when you operate any machinery.,The instructions in the lab ask you cover your face and eyes when you operate any machinery.
eyes,hair,100,"In order to make your X and Y stand out, you should choose an appropriate outfit.","In order to make your eyes and hair stand out, you should choose an appropriate outfit.","In order to make your hair and eyes stand out, you should choose an appropriate outfit."
face,figure,53,The model's X and Y was highlighted in the magazine spread.,The model's face and figure was highlighted in the magazine spread.,The model's figure and face was highlighted in the magazine spread.
facts,figures,170,Lauren needed to get her X and Y straight before her business plan presentation.,Lauren needed to get her facts and figures straight before her business plan presentation.,Lauren needed to get her figures and facts straight before her business plan presentation.
faith,life,41,He wanted to write a book about X and Y using many personal stories.,He wanted to write a book about faith and life using many personal stories.,He wanted to write a book about life and faith using many personal stories.
faith,love,121,He wrote songs about X and Y that he hoped to record for his next album.,He wrote songs about faith and love that he hoped to record for his next album.,He wrote songs about love and faith that he hoped to record for his next album.
fall,rise,692,I've gotten particularly ill due to the X and Y of the waves out at sea.,I've gotten particularly ill due to the fall and rise of the waves out at sea.,I've gotten particularly ill due to the rise and fall of the waves out at sea.
fall,winter,162,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during fall and winter students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during winter and fall students tend to feel a bit sadder due to the cold and gloomy weather.
family,neighborhood,17,She loved her X and Y so she was sad about leaving for college.,She loved her family and neighborhood so she was sad about leaving for college.,She loved her neighborhood and family so she was sad about leaving for college.
farms,fields,11,Ron loved spending time at X and Y because he loved being in nature.,Ron loved spending time at farms and fields because he loved being in nature.,Ron loved spending time at fields and farms because he loved being in nature.
father,mother,1475,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.","Because Stephanie was grounded, her father and mother would not permit her to go out with her friends.","Because Stephanie was grounded, her mother and father would not permit her to go out with her friends."
father,son,451,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,Eric enjoys going to the movies with his father and son so much that he decided to make it a weekly tradition for them.,Eric enjoys going to the movies with his son and father so much that he decided to make it a weekly tradition for them.
father,uncle,48,She took her X and Y out to dinner to celebrate their birthdays.,She took her father and uncle out to dinner to celebrate their birthdays.,She took her uncle and father out to dinner to celebrate their birthdays.
