WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
blood,flesh,Although Rhonda was not Nick's X and Y he considered her part of his family.,-59.29512548446655,-59.108384132385254
blood,guts,The film showed X and Y which made them very uncomfortable.,-50.986836433410645,-49.9360671043396
boats,ships,The pier was full of X and Y ready to take off on an adventure.,-51.49656295776367,-51.90598773956299
bodies,faces,Grant wrote a poem about how everyone's X and Y are beautiful and unique.,-52.667250633239746,-52.57974863052368
body,face,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.",-36.001373291015625,-36.88366222381592
body,head,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.",-17.023772597312927,-14.963016867637634
body,mind,She talked about the importance of keeping your X and Y super healthy and strong.,-55.62471008300781,-55.520549297332764
bone,flesh,"After a hard fall, you could see the X and Y of the basketball player's leg.",-30.711233019828796,-23.069867253303528
bone,muscle,The doctor studied the X and Y of the patient's injured leg.,-48.618483543395996,-41.84806537628174
bones,skulls,Scientists study the X and Y of long-extinct animal species.,-43.08237910270691,-35.38321363925934
boots,shoes,My suitcase was full of X and Y which made it exceed the weight limit.,-50.66872453689575,-51.08057165145874
boys,girls,The teacher separated the X and Y into two groups.,-49.465678215026855,-49.79096508026123
boys,men,There were a lot of X and Y at the park today.,-46.54842185974121,-45.44897651672363
bread,butter,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,-15.037437908351421,-17.44282802939415
bread,cheese,Xavier brought X and Y to the potluck at the beach.,-43.73699188232422,-44.66651964187622
breakfast,dinner,Molly decided that X and Y are her favorite meals of the day.,-50.874560832977295,-50.98989200592041
bride,groom,I think that the X and Y are very excited about the upcoming wedding.,-43.9231071472168,-41.552188873291016
brother,mother,Last week my X and Y came to visit me in my new apartment.,-46.22018003463745,-47.66528677940369
brother,sister,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,-27.400607109069824,-29.077287912368774
brothers,sisters,When we were younger my X and Y wanted a Beagle puppy.,-44.99155330657959,-45.176562786102295
brush,trees,Amanda loved all the X and Y that surrounded her house.,-49.40463590621948,-47.52805233001709
Burma,India,They talked about visiting X and Y for their upcoming honeymoon.,-47.35209941864014,-46.89738750457764
cakes,pies,Hannah had a real sweet tooth for X and Y so she took up baking as a hobby.,-12.195192694664001,-10.889899039641023
cattle,horses,"On the ranch, there are X and Y roaming around the green pastures.",-66.65735244750977,-66.41688871383667
cause,consequence,Finn didn't want to think about the X and Y of him losing his job.,-58.627912521362305,-57.93741035461426
cause,effect,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.",-29.403762817382813,-36.3604553937912
ceiling,walls,The painter finished painting the X and Y of all of the bedrooms.,-45.35927629470825,-45.13351106643677
cents,dollars,The boy brought his X and Y to the store to buy an ice cream cone.,-48.61733865737915,-47.19947338104248
chair,table,They noticed that the X and Y were knocked over after the earthquake.,-53.96753787994385,-54.19904565811157
chairs,sofas,The hoarder had many X and Y in their living room.,-53.262181758880615,-55.07192897796631
chairs,table,The event planner fixed the X and Y to accommodate all of the wedding guests.,-38.609652519226074,-35.20360052585602
characters,situations,Cheryl considered the X and Y in the novel she was writing.,-49.30295276641846,-48.67748403549194
charts,maps,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,-21.181437768042088,-22.381601683795452
chest,stomach,Tom felt pain in both his X and Y so he decided to stay home from school.,-39.96544075012207,-40.905872106552124
child,husband,Rachel lived with her X and Y in a small apartment in New York City.,-45.21138334274292,-44.84380340576172
child,wife,Bill wanted to take his X and Y on a tropical vacation.,-51.18190860748291,-51.106107234954834
childhood,infancy,The students watched a video on X and Y in their human development class.,-50.16428565979004,-49.90651798248291
choice,decision,It was her X and Y to stay home for the summer instead of traveling through South America.,-52.5606255531311,-54.53843069076538
Christmas,Easter,The child decided that X and Y were her favorite holidays.,-45.84100818634033,-46.364319801330566
church,community,Tim has said that his X and Y are very important to him.,-52.26262378692627,-52.663615703582764
city,country,Her love for her X and Y made her want to get into politics.,-48.284892082214355,-48.10373115539551
city,county,The meeting had representatives from both the X and Y to discuss policy changes.,-54.40288972854614,-54.04568099975586
city,state,He liked his X and Y too much to move away.,-48.760865211486816,-48.539087772369385
clarity,precision,Devin tried to achieve X and Y in everything he did.,-51.558000564575195,-52.50948429107666
classmates,friends,We have been X and Y all the way from kindergarten to college.,-49.12944984436035,-47.46502494812012
closets,drawers,Ben needed a lot of X and Y to store all of his clothes.,-48.723721981048584,-49.12240123748779
coat,hat,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away.",-24.298975348472595,-22.102080702781677
coffee,sandwiches,The company had X and Y catered for their employees.,-49.75706720352173,-49.03509998321533
coffee,toast,Every morning Karen has X and Y for breakfast before school.,-40.17707586288452,-41.77867841720581
college,school,Matt said that X and Y are not worth his time.,-51.766053676605225,-51.084166049957275
college,university,Carlos talked about X and Y with his school counselor.,-52.646934509277344,-52.460843086242676
color,light,Rob used a lot of X and Y to make his photographs pop.,-44.62353038787842,-44.10132026672363
color,texture,Sarah was known for the X and Y she used in her paintings.,-48.63349771499634,-47.95455265045166
colors,forms,They read a whole chapter on X and Y in her art class.,-50.358866691589355,-48.53493547439575
comfort,ease,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.",-27.44751352071762,-25.650217831134796
comings,goings,The school newspaper reported on the X and Y of the student body.,-42.26612901687622,-43.80269384384155
command,control,The eldest sibling wanted to X and Y all of their younger siblings.,-50.08585166931152,-49.70485591888428
Concord,Lexington,He used to live in both X and Y when he was a teenager.,-49.73422861099243,-47.868346214294434
concrete,steel,The company got a new shipment of X and Y for an upcoming project.,-50.918617725372314,-50.9032039642334
confusion,fear,They felt X and Y about what they would do after graduating.,-52.69485521316528,-52.91413164138794
confusion,turmoil,Hannah felt X and Y after her mom gave her some unfortunate news.,-53.02228403091431,-55.53555870056152
conscience,religion,Bree is reading a book about the relationship between X and Y in her book club.,-61.6042742729187,-61.60495662689209
contemporary,friend,I learned that my professor was a X and Y of a famous poet.,-50.28801393508911,-49.28048610687256
corruption,crime,All of the X and Y in the city made Tony want to move.,-47.5715389251709,-46.004981994628906
costumes,masks,Tammy had to buy X and Y for all of the Halloween parties she was going to attend.,-12.591236573643982,-13.792355969548225
cotton,tobacco,The company has sold X and Y for almost twenty years.,-42.47219276428223,-50.32129144668579
council,governor,She wanted to meet with both the X and Y to discuss some ideas she had.,-56.608673095703125,-57.81898307800293
counties,towns,Fred drove through many X and Y to move to his new house.,-37.366310358047485,-37.28192138671875
courage,hope,It took X and Y to overcome what she had been through.,-51.09472608566284,-50.66994285583496
cousins,uncles,Olivia said her X and Y are her favorite family members.,-48.57289743423462,-47.50130748748779
crannies,nooks,He made sure to dust all of the X and Y throughout the old house.,-51.4183611869812,-51.26650047302246
cream,peaches,We had X and Y for dessert at the diner down the street.,-48.20497989654541,-47.598968505859375
crime,poverty,The study on the link between X and Y was published in the local newspaper.,-54.712815284729004,-54.99174213409424
crime,punishment,The jury needed to consider the X and Y before coming to a final decision.,-56.5645432472229,-54.17991495132446
crime,violence,The frequent X and Y in the neighborhood had people worried.,-48.29470205307007,-48.247055530548096
crops,livestock,All of the X and Y needed a lot of water to survive.,-53.72911071777344,-53.92425537109375
cysts,tumors,Paul had an appointment with his doctor to check for any X and Y that he might have.,-51.71797490119934,-47.19739246368408
dairy,poultry,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,-19.066467427182943,-21.999711327487603
dark,light,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,-48.375067710876465,-48.19633388519287
dates,events,Katrina had many X and Y to attend because she was very popular.,-54.419565200805664,-54.94434213638306
daughter,son,"With the holidays approaching, the X and Y needed to shop for presents for their parents.",-54.98198223114014,-55.49920082092285
day,night,It is harder to tell the difference between X and Y if you can't see.,-45.594300270080566,-46.10343360900879
days,nights,Finn spent many X and Y working on writing his novel.,-48.522677421569824,-47.412803649902344
days,years,It had been X and Y since Molly had seen her cousins.,-52.98186016082764,-53.28845930099487
death,life,It is hard to tell the difference between X and Y when you are in purgatory.,-49.572794914245605,-49.570960521698
debate,discussion,"During class, there was X and Y surrounding the controversial current event.",-51.31156253814697,-51.34520959854126
democracy,liberty,Jade's brother talked about X and Y while they ate dinner on the fourth of July.,-53.08597278594971,-50.77237606048584
despair,rage,Annie felt a lot of X and Y so she wanted to talk with a therapist.,-51.00400161743164,-52.799323081970215
development,research,"The scientist had a lot of X and Y to do, because he had been sick for a long time.",-46.632649421691895,-47.02774620056152
diagnosis,treatment,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,-45.841511726379395,-47.5393009185791
diamonds,rubies,The pirates followed the treasure map to find that X and Y were hidden in the treasure chest.,-27.68746852874756,-29.282766103744507
dirt,sweat,Mike needed to wash the X and Y out of his soccer uniform.,-44.806114196777344,-43.79263401031494
discussion,thought,A lot of X and Y went into making the decision to buy this house.,-56.5788254737854,-55.50167465209961
distress,pain,The couple's divorce caused a lot of X and Y for the whole family.,-47.12572383880615,-47.89992809295654
dogs,men,Her grandma joked that X and Y had a lot in common.,-46.42305326461792,-45.938690185546875
doorways,windows,Bill wanted to fix the X and Y before moving into the new home.,-51.4953989982605,-51.037649154663086
doubts,fears,"She wanted to be a pop star, but her X and Y got in the way of her dream.",-44.61554503440857,-48.72969675064087
dreams,plans,She had X and Y to become a successful scientist.,-46.8423171043396,-46.92461013793945
ears,eyes,"Cleo said that her X and Y were bothering her, so she stayed home from work.",-49.60064482688904,-51.153221130371094
earth,sky,Talking about the X and Y was one of Randy's favorite things to do.,-46.29346704483032,-46.3518590927124
editing,publishing,The company did the X and Y for many well-known books.,-52.73375177383423,-52.21741724014282
editor,publisher,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.",-25.922678664326668,-25.36907136440277
education,skill,They had the X and Y to be a great professor.,-48.392051696777344,-48.44038391113281
effort,resources,It would take a lot of X and Y to put on this fundraiser.,-48.66609001159668,-48.164077281951904
eggs,ham,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,-58.864168643951416,-59.071908950805664
elbows,knees,I hurt my X and Y when I fell off my longboard.,-51.02420711517334,-52.0388388633728
ends,odds,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.",-27.912874579429626,-11.960233703255653
energy,money,Alice said that all of the X and Y that her car needed made her want to sell it.,-51.07319498062134,-49.6444091796875
engineers,scientists,There were a good number of X and Y present at the conference.,-46.04390335083008,-48.24365234375
English,German,The school held classes in both X and Y so the students could be bilingual.,-53.171513080596924,-53.21640205383301
equipment,personnel,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,-55.0097393989563,-54.47680139541626
error,trial,They dealt with a lot of X and Y before having a final product.,-54.808796405792236,-54.80774259567261
errors,omissions,Rebecca went over the X and Y that occurred in the paper.,-59.21701145172119,-60.67968511581421
evening,morning,Victor plans on spending tomorrow X and Y reading the new book he bought.,-52.45730924606323,-52.59353971481323
everybody,everything,Noah loved X and Y in his college town.,-59.40172863006592,-60.13074350357056
expense,time,He said that the X and Y of maintaining the property was too much.,-49.97812032699585,-52.25468349456787
eyes,face,The instructions in the lab ask you cover your X and Y when you operate any machinery.,-54.77791500091553,-54.76608943939209
eyes,hair,"In order to make your X and Y stand out, you should choose an appropriate outfit.",-43.925323486328125,-43.66935086250305
face,figure,The model's X and Y was highlighted in the magazine spread.,-50.74043798446655,-50.868037700653076
facts,figures,Lauren needed to get her X and Y straight before her business plan presentation.,-51.19784164428711,-51.04337739944458
faith,life,He wanted to write a book about X and Y using many personal stories.,-54.47717523574829,-53.05222845077515
faith,love,He wrote songs about X and Y that he hoped to record for his next album.,-52.11585330963135,-51.8271279335022
fall,rise,I've gotten particularly ill due to the X and Y of the waves out at sea.,-50.87373876571655,-49.84720182418823
fall,winter,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,-20.3267441354692,-24.386307772248983
family,neighborhood,She loved her X and Y so she was sad about leaving for college.,-48.01785707473755,-48.20852613449097
farms,fields,Ron loved spending time at X and Y because he loved being in nature.,-52.35201120376587,-48.12153244018555
father,mother,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.",-57.32259511947632,-57.177091121673584
father,son,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,-21.57213544845581,-21.18623372912407
father,uncle,She took her X and Y out to dinner to celebrate their birthdays.,-50.809651374816895,-49.38717699050903
fathers,mothers,The community center had summer camps for X and Y to send their kids to while they worked.,-44.00167202949524,-38.50215268135071
feelings,thoughts,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.",-19.674155928194523,-18.3170098811388
feet,hands,The child's X and Y were numb from playing in the snow.,-49.01304054260254,-49.4485559463501
feet,legs,The soccer player injured their X and Y during a very intense game.,-44.595829010009766,-45.060683727264404
female,male,The dog breeder has X and Y puppies coming up for sale soon.,-51.18799877166748,-51.17482042312622
fiction,poetry,Maddy liked to read X and Y in her spare time.,-50.125611305236816,-50.4460711479187
field,stream,"There was a X and Y near his house, which made him very happy.",-54.9528284072876,-54.347946643829346
figures,words,Hannah used X and Y to explain her findings.,-50.29083728790283,-52.108861446380615
fingers,thumb,Demi broke her X and Y when she fell while roller skating.,-52.705790996551514,-52.782641887664795
fire,light,"According to Mandy, the lack of X and Y ruined the evening's ambiance.",-54.627963066101074,-55.60112953186035
fire,police,Both the X and Y departments put on a barbeque for the community.,-53.87610149383545,-54.281723499298096
flame,smoke,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.",-42.31443476676941,-35.99649095535278
flames,smoke,"Down the street, you could see the X and Y from the house that was on fire.",-48.67747640609741,-45.82654571533203
flesh,skin,Cory explained the difference between X and Y to his little brother.,-42.76374626159668,-43.49717450141907
flowers,herbs,Dan grew X and Y in his own backyard.,-49.23392200469971,-48.33690929412842
flowers,plants,All of the X and Y in the Arboretum made it a popular spot for walks.,-41.90306758880615,-41.68611812591553
fog,mist,All of the X and Y made Terry want to stay inside the house all day.,-57.2634973526001,-57.36361837387085
food,shelter,The stray dog searched for X and Y while running through the streets.,-51.98099136352539,-52.65388488769531
force,violence,They didn't like how he used X and Y to get his way.,-46.53592848777771,-45.712340354919434
forefinger,thumb,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,-16.297441601753235,-12.957077733590268
fork,spoon,Tara needed both a X and Y to properly eat her meal.,-48.686784744262695,-50.276185512542725
forms,materials,Lee didn't have the necessary X and Y to move forward with the task.,-52.304025650024414,-52.577796459198
freedom,security,Mary searched for X and Y in her next job opportunity.,-45.53560400009155,-46.51906108856201
friends,relations,Ciara had many X and Y so she was rarely lonely.,-52.0188512802124,-51.45527505874634
fruit,nuts,All he had in his kitchen was X and Y so he made a trip to the grocery store.,-49.85611391067505,-50.24402904510498
fruits,vegetables,"Growing up, Paul ate his X and Y everyday in order to be healthy.",-33.17410695552826,-28.040168285369873
fun,games,Sally promised that there would be X and Y at her birthday party.,-47.066996574401855,-47.40021467208862
future,past,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,-47.21649217605591,-45.207255363464355
gas,oil,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.",-14.175745725631714,-14.368239998817444
gentlemen,ladies,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,-31.443109273910522,-29.806198239326477
gin,tonic,"After a long day of work, he had a X and Y to unwind and celebrate the weekend.",-9.252208499026892,-22.657014846801758
glass,steel,The architect wanted the building to have a lot of X and Y to make it look sleek and modern.,-42.16737604141235,-43.64959716796875
god,man,The friends had a discussion about the relationship between X and Y after school last week.,-52.62181329727173,-49.88448190689087
goods,services,The village people would not trade X and Y for money because they don't use currency.,-50.28655767440796,-50.309632778167725
gratitude,joy,David felt X and Y when his kids made him breakfast in bed.,-51.487828731536865,-53.32138109207153
groups,individuals,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,-58.67024326324463,-58.26884460449219
guidance,information,She got a lot of X and Y from her older sister about the college admissions process.,-52.586997985839844,-52.71865367889404
gums,teeth,You should take care of your X and Y in order to have optimal dental hygiene.,-53.09743642807007,-47.42778396606445
hair,skin,The doctor recommended X and Y supplements to some of her patients.,-51.53511714935303,-51.704430103302
hands,knees,Chris had to get on his X and Y to look for the button that fell off his shirt.,-48.32866096496582,-51.52790594100952
head,shoulders,The doctor looked at Ashley's X and Y because she said that both were bothering her.,-55.29380750656128,-55.49065399169922
head,tail,There were white spots on the X and Y of the tiny dog.,-49.72876262664795,-48.930853843688965
health,spirits,In order to improve their X and Y the couple decided to go for long daily walks.,-53.01859903335571,-52.95600366592407
hearing,sight,His grandma lost her X and Y so she needed to live in a nursing home.,-53.75644493103027,-55.48510932922363
heart,mind,It took a long time for Sarah's X and Y to recover after her husband died.,-56.11647176742554,-56.38260078430176
heir,son,The king's X and Y went missing after the battle.,-51.35136079788208,-50.92547130584717
help,understanding,She appreciated Claire's X and Y when it came to teaching John how to ride a bike.,-53.70722961425781,-53.42467975616455
history,identity,Jonathon was unsure about the X and Y of the statue he saw in the park.,-46.35333728790283,-48.714938163757324
honey,milk,Jack's mother gave him X and Y in order to calm him after a nightmare.,-33.1951630115509,-31.051396131515503
horses,wagons,"Instead of a car, they used X and Y to move their belongings to a new town.",-10.314411814557388,-15.352889871923253
houses,shops,"The town is pretty small, so the X and Y are really close to each other.",-34.87030100822449,-33.90427541732788
humility,pride,It is hard to have both X and Y when one is rich and famous.,-50.357426166534424,-50.16717863082886
husband,wife,Because the X and Y didn't love each other anymore they pondered going their separate ways.,-19.85896666534245,-22.748604346066713
husbands,wives,The counselor met with many X and Y throughout his long career.,-55.43786334991455,-55.30581283569336
ice,snow,All of the X and Y outside made Luis want to stay in all day.,-57.758612632751465,-56.00005531311035
ice,water,The kids went all over town to find X and Y since their air conditioner was broken.,-56.07926845550537,-54.76071310043335
Illinois,Missouri,Sam argues that X and Y are the best states to live in.,-48.71752738952637,-48.59673738479614
improvements,land,Timothy said that the hotel needed more X and Y to be able to make enough money.,-44.057939767837524,-45.392619132995605
inclination,time,Samuel had the X and Y to help his little brother with his homework.,-48.05634117126465,-52.513020038604736
influence,power,The employee used her X and Y in the company in order to get a raise.,-46.379467487335205,-46.386064529418945
influence,prestige,The doctor's X and Y made her popular with patients.,-55.26377248764038,-53.665198802948
information,material,Fred lacked the X and Y to work on the project.,-41.838839054107666,-41.105668783187866
ink,paper,All you need is X and Y in order to write the next great novel.,-44.174015522003174,-38.505117893218994
iron,wood,The company purchased X and Y for their latest construction project.,-51.90209150314331,-50.06581735610962
jacket,trousers,Ted needed to iron his X and Y before his big meeting.,-44.841134548187256,-47.8254599571228
jams,jellies,Jake started making X and Y with all the fruit he was growing in his garden.,-50.77426242828369,-44.68853282928467
jaws,teeth,Teddy was surprised at how large the X and Y of the crocodiles he saw at the swamp were.,-15.600978642702103,-12.446008563041687
joy,pleasure,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,-21.507696986198425,-22.17241871356964
July,June,Max was planning to take off X and Y from work so he could travel through Asia.,-51.70907783508301,-52.848830699920654
kind,quantity,This was the X and Y of bread that he needed for the recipe.,-51.15808820724487,-51.83172655105591
knowledge,skills,"Although Cassie's X and Y were both strong, her exams were still difficult.",-61.78559494018555,-62.010963916778564
labor,money,The amount of X and Y required to keep the farm was not worth it to Mark.,-55.776686668395996,-56.57232618331909
land,sea,They had to travel across X and Y to get to their final destination.,-43.08177661895752,-44.27824592590332
landings,takeoffs,Christian enjoyed watching the X and Y of the planes at the airport.,-40.35168743133545,-41.58334827423096
law,order,There was a lack of X and Y that caused some chaos.,-48.82745981216431,-49.019413471221924
lecturer,writer,She was both a X and Y but wanted to be an actor instead.,-49.60467338562012,-51.06684875488281
left,right,You should look X and Y before crossing the street.,-51.8097562789917,-52.20630598068237
length,quality,She thought the X and Y of the boat would impress her friends.,-47.71054935455322,-47.330291748046875
length,weight,She took note of the X and Y of the bed before trying to bring it into the small room.,-23.074939906597137,-23.705313086509705
libraries,museums,The amount of time he spent in X and Y surpassed the amount of time he spent at home.,-22.488596070557833,-23.119956199079752
life,religion,Jenny talked about X and Y with her brother and sister.,-50.3024697303772,-48.10295343399048
light,shadow,It is important to consider both X and Y when creating a still life painting.,-52.826529026031494,-53.52621603012085
light,sound,The exhibit used X and Y to create an attention-grabbing experience.,-48.60585832595825,-49.465378284454346
location,size,The couple told the realtor that X and Y are the most important criteria for picking a house.,-29.460004568099976,-28.94247841835022
machinery,power,She didn't think they had enough X and Y to fulfill the large bulk order.,-31.76680290699005,-31.311144948005676
magazines,newspapers,Anna has written articles for many X and Y throughout her career as a journalist.,-60.677969455718994,-58.567227363586426
magic,superstition,He thinks X and Y are definitely not real.,-53.727508544921875,-52.864325523376465
mamma,papa,Antonio wants to spend a lot of time with his X and Y while they are in town.,-35.008909702301025,-32.43323850631714
man,nature,Harry wanted to talk about how X and Y interact in today's society.,-52.84362030029297,-53.4393515586853
man,wife,I learned that the X and Y got married after dating for 5 years.,-53.363868713378906,-53.883177280426025
man,woman,He noticed that both the X and Y had green sneakers on.,-52.57687187194824,-51.89685249328613
math,science,Ricky discovered that X and Y are his favorite subjects in school.,-54.42940330505371,-54.895323753356934
meaning,origin,Michael was confused about both the X and Y of the folk tale he had just heard.,-46.52209138870239,-46.92393159866333
men,officers,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,-21.423451244831085,-17.93681627511978
men,women,The guard instructed the X and Y to form an orderly line.,-47.03137826919556,-47.06386184692383
methods,principles,She didn't agree with the company's X and Y so she made her opinion known.,-39.154741048812866,-39.04600381851196
minerals,vitamins,The human body needs both X and Y in order to continue functioning properly.,-49.613139152526855,-44.51265048980713
misery,pain,The people experienced X and Y after they were shipwrecked for months.,-51.7697958946228,-51.25583505630493
money,time,The amount of X and Y required to fix up the old car made it quite the project.,-52.45151138305664,-55.85376214981079
months,years,"After many tiring X and Y, the author finally published their book.",-39.79182505607605,-40.74910259246826
moon,sun,Rebecca got a X and Y tattooed on her left arm.,-52.614609718322754,-52.38626718521118
morning,night,Kevin worked both X and Y shifts as an ER nurse.,-49.373088359832764,-49.23506832122803
mother,son,Jack spent more time with his X and Y than any other family member.,-46.48827934265137,-46.28797721862793
mouth,nostrils,"Evan took a look at the X and Y of his dog, and compared them to his own.",-21.424196254462004,-21.604627108201385
movements,positions,"After hurting her foot, certain X and Y caused her a lot of pain.",-54.35693168640137,-54.00328016281128
mr.,mrs.,The couple call each other X and Y Smith even though they aren't married.,-24.560193419456482,-23.980072736740112
muscles,nerves,Allison felt like her X and Y were on fire after running a marathon.,-48.5926513671875,-49.748971462249756
names,numbers,The host asked for both the X and Y of the people who wanted to make reservations.,-29.246851205825806,-29.873711347579956
nature,size,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,-18.811625354923308,-18.990192308090627
needle,thread,He needed a X and Y to fix the hole in his shirt.,-47.13024091720581,-45.62410640716553
nights,weekends,Clare spent her X and Y working on new recipes for the cookbook she was writing.,-17.454233944416046,-19.83597494661808
nitrogen,oxygen,The atmosphere is composed of X and Y as well as other elements.,-50.08755683898926,-53.53499412536621
north,south,The family moved X and Y a couple of times before deciding on their current home.,-44.33460450172424,-44.322545289993286
north,west,The boat sailed X and Y to get to its destination.,-40.85877013206482,-40.44159460067749
nose,throat,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,-16.2688957399223,-16.811021104454994
novelist,poet,Lydia is a successful X and Y and is praised for her writing style.,-49.985268354415894,-47.01024127006531
novels,stories,The famous author had published many X and Y over the past twenty years.,-44.28064823150635,-45.46073246002197
novels,tales,He had always loved X and Y so he majored in English in college.,-54.647329330444336,-52.83161163330078
pad,pencil,Antonio brought his X and Y to sketch the statues in the park.,-46.474037170410156,-47.994815826416016
pain,pressure,Jeremy felt X and Y in his chest that concerned him.,-47.19043207168579,-46.44149684906006
pain,shame,Todd felt X and Y when he talked about his divorce.,-51.161070823669434,-50.07370376586914
