,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
16,crisis,destruction,"A dead armadillo , the sole occupant of the stage , symbolizes the crisis and destruction of the Old Order .","A dead armadillo , the sole occupant of the stage , symbolizes the crisis and destruction of the Old Order .",The Old Order's crisis and destruction was symbolized by a dead armadillo on the stage.,The Old Order's destruction and crisis was symbolized by a dead armadillo on the stage.,,,,,,,,0,83,1,0.794265,0.794265,The Old Order's X and Y was symbolized by a dead armadillo on the stage.,The Old Order's crisis and destruction was symbolized by a dead armadillo on the stage.,The Old Order's destruction and crisis was symbolized by a dead armadillo on the stage.,,,"""alpha""; 16; The Old Order's crisis and destruction was symbolized by a dead armadillo on the stage.","""nonalpha""; 16; The Old Order's destruction and crisis was symbolized by a dead armadillo on the stage."
17,drawing,models,Drawing and models were his thinking .,Drawing and models were his thinking .,Dennis never went down to the factory but the drawing and models were done by him.,Dennis never went down to the factory but the models and drawing were done by him.,,,,,,,,0,191,0.1989528796,0.78798016,0.78798016,Dennis never went down to the factory but the X and Y were done by him.,Dennis never went down to the factory but the drawing and models were done by him.,Dennis never went down to the factory but the models and drawing were done by him.,,,"""alpha""; 17; Dennis never went down to the factory but the drawing and models were done by him.","""nonalpha""; 17; Dennis never went down to the factory but the models and drawing were done by him."
18,non-poetry,poetry,903,"`` But we now find writers obsessed * by the nooks and crannies of their ivory towers , and curiously devoted * to the growing obscurity and complexity of poetry and non-poetry .",-1,0,0,0,0,0,-10.04667762,-1,0,0,0,NA,0.22085896,0.77914104,Literary works including X and Y can be analyzed under the proposed framework.,Literary works including non-poetry and poetry can be analyzed under the proposed framework.,Literary works including poetry and non-poetry can be analyzed under the proposed framework.,,,"""alpha""; 18; Literary works including non-poetry and poetry can be analyzed under the proposed framework.","""nonalpha""; 18; Literary works including poetry and non-poetry can be analyzed under the proposed framework."
19,peace,rehabilitation,870,We of the liberal-led world got all set for peace and rehabilitation .,0,1,0,0,0,0,2.156369172,5,1,1,75,1,0.77593824,0.77593824,The two sides both yearning for X and Y settled on a cease-fire last week.,The two sides both yearning for peace and rehabilitation settled on a cease-fire last week.,The two sides both yearning for rehabilitation and peace settled on a cease-fire last week.,,,"""alpha""; 19; The two sides both yearning for peace and rehabilitation settled on a cease-fire last week.","""nonalpha""; 19; The two sides both yearning for rehabilitation and peace settled on a cease-fire last week."
20,clarification,reexamination,"The enormous changes in world politics have , however , thrown it into confusion , so much so that it *EXP*-1 is safe * to say that all international law is now in need of reexamination and clarification in light of the social conditions of the present era . -RRB-","The enormous changes in world politics have , however , thrown it into confusion , so much so that it *EXP*-1 is safe * to say that all international law is now in need of reexamination and clarification in light of the social conditions of the present era . -RRB-",All international laws are now in need of clarification and reexamination because of the change in social conditions of the present era.,All international laws are now in need of reexamination and clarification because of the change in social conditions of the present era.,,,,,,,,0,72,0,0.22582753,0.77417247,All international laws are now in need of X and Y because of the change in social conditions of the present era.,All international laws are now in need of clarification and reexamination because of the change in social conditions of the present era.,All international laws are now in need of reexamination and clarification because of the change in social conditions of the present era.,,,"""alpha""; 20; All international laws are now in need of clarification and reexamination because of the change in social conditions of the present era.","""nonalpha""; 20; All international laws are now in need of reexamination and clarification because of the change in social conditions of the present era."
21,beech,horse-chestnut,But the shelter is as much a part of my landscape as the beech and horse-chestnut trees that *T*-1 grow on the ridge .,But the shelter is as much a part of my landscape as the beech and horse-chestnut trees that *T*-1 grow on the ridge .,The shelter is as much a part of my landscape as the beech and horse-chestnut trees that grow on the ridge .,The shelter is as much a part of my landscape as the horse-chestnut and beech trees that grow on the ridge .,,,,,,,,1,0,NA,0.77380139,0.77380139,The shelter is as much a part of my landscape as the X and Y trees that grow on the ridge .,The shelter is as much a part of my landscape as the beech and horse-chestnut trees that grow on the ridge .,The shelter is as much a part of my landscape as the horse-chestnut and beech trees that grow on the ridge .,,,"""alpha""; 21; The shelter is as much a part of my landscape as the beech and horse-chestnut trees that grow on the ridge .","""nonalpha""; 21; The shelter is as much a part of my landscape as the horse-chestnut and beech trees that grow on the ridge ."
22,boards,two-by-fours,"Mr. Mills had done some figuring on a scrap of paper and given him the various kinds of boards and two-by-fours which , *-3 properly handled *-2 *T*-1 , would , he had assured him 0 *T*-4 , turn into a workbench .","Mr. Mills had done some figuring on a scrap of paper and given him the various kinds of boards and two-by-fours which , *-3 properly handled *-2 *T*-1 , would , he had assured him 0 *T*-4 , turn into a workbench .",Mr. Mills gave him the various kinds of boards and two-by-fours to make a new workbench for the studio.,Mr. Mills gave him the various kinds of two-by-fours and boards to make a new workbench for the studio.,,,,,,,,1,0,NA,0.77316839,0.77316839,Mr. Mills gave him the various kinds of X and Y to make a new workbench for the studio.,Mr. Mills gave him the various kinds of boards and two-by-fours to make a new workbench for the studio.,Mr. Mills gave him the various kinds of two-by-fours and boards to make a new workbench for the studio.,,,"""alpha""; 22; Mr. Mills gave him the various kinds of boards and two-by-fours to make a new workbench for the studio.","""nonalpha""; 22; Mr. Mills gave him the various kinds of two-by-fours and boards to make a new workbench for the studio."
23,classifications,probings,"To both the amateur and the commercial progandist the analyst *ICH*-2 lacks a soul , lacks appreciation with his endless probings and classifications .","To both the amateur and the commercial progandist the analyst *ICH*-2 lacks a soul , lacks appreciation with his endless probings and classifications .",With his endless classifications and probings the analyst appears to be lacking a soul.,With his endless probings and classifications the analyst appears to be lacking a soul.,,,,,,,,0,0,NA,0.22990211,0.77009789,With his endless X and Y the analyst appears to be lacking a soul.,With his endless classifications and probings the analyst appears to be lacking a soul.,With his endless probings and classifications the analyst appears to be lacking a soul.,,,"""alpha""; 23; With his endless classifications and probings the analyst appears to be lacking a soul.","""nonalpha""; 23; With his endless probings and classifications the analyst appears to be lacking a soul."
24,lights,motor,673,"He went around the corner and parked , *-1 turning off his lights and motor .",0,0,-1,0,0,1,-0.4963609101,1,1,1,779,0.568677792,0.76682406,0.76682406,I turned off my X and Y because nobody was going anywhere in this traffic jam.,I turned off my lights and motor because nobody was going anywhere in this traffic jam.,I turned off my motor and lights because nobody was going anywhere in this traffic jam.,,,"""alpha""; 24; I turned off my lights and motor because nobody was going anywhere in this traffic jam.","""nonalpha""; 24; I turned off my motor and lights because nobody was going anywhere in this traffic jam."
25,usefulness,viability,1213,It *EXP*-1 is one of the ironic quirks of history that the viability and usefulness of nationalism and the territorial state are rapidly dissipating at precisely the time that the nation-state attained its highest number -LRB- approximately 100 -RRB- *T*-2 .,0,0,0,0,0,-1,0.9548896303,0,0,0,412,0.3373786408,0.23443808,0.76556192,"For the first time in the country's history, the X and Y of nationalism came into question.","For the first time in the country's history, the usefulness and viability of nationalism came into question.","For the first time in the country's history, the viability and usefulness of nationalism came into question.",,,"""alpha""; 25; For the first time in the country's history, the usefulness and viability of nationalism came into question.","""nonalpha""; 25; For the first time in the country's history, the viability and usefulness of nationalism came into question."
26,directness,truth,"He knew her mind *ICH*-1 pretty well , by now , its quick perceptions and sympathies , its painful insistence on truth and directness , its capacity for love almost too deep 0 for a man to reciprocate *T*-2 , even in part .","He knew her mind *ICH*-1 pretty well , by now , its quick perceptions and sympathies , its painful insistence on truth and directness , its capacity for love almost too deep 0 for a man to reciprocate *T*-2 , even in part .",Her insistence on directness and truth caused some problems in their relationship.,Her insistence on truth and directness caused some problems in their relationship.,,,,,,,,-1,390,0.5948717949,0.23939805,0.76060195,Her insistence on X and Y caused some problems in their relationship.,Her insistence on directness and truth caused some problems in their relationship.,Her insistence on truth and directness caused some problems in their relationship.,,,"""alpha""; 26; Her insistence on directness and truth caused some problems in their relationship.","""nonalpha""; 26; Her insistence on truth and directness caused some problems in their relationship."
27,career,wanderings,"Die Frist ist um , und wiederum verstrichen sind sieben Jahr , the Maestro quoted The Flying Dutchman , as he told of his career and wanderings , *-1 explaining that the number seven had significantly recurred in his life several times .","Die Frist ist um , und wiederum verstrichen sind sieben Jahr , the Maestro quoted The Flying Dutchman , as he told of his career and wanderings , *-1 explaining that the number seven had significantly recurred in his life several times .",The Maestro told of his career and wanderings to explain how the number seven had significantly recurred in his life several times.,The Maestro told of his wanderings and career to explain how the number seven had significantly recurred in his life several times.,,,,,,,,1,0,NA,0.75881237,0.75881237,The Maestro told of his X and Y to explain how the number seven had significantly recurred in his life several times.,The Maestro told of his career and wanderings to explain how the number seven had significantly recurred in his life several times.,The Maestro told of his wanderings and career to explain how the number seven had significantly recurred in his life several times.,,,"""alpha""; 27; The Maestro told of his career and wanderings to explain how the number seven had significantly recurred in his life several times.","""nonalpha""; 27; The Maestro told of his wanderings and career to explain how the number seven had significantly recurred in his life several times."
28,goodnight,lullaby,692,`` Lullaby and goodnight . '',0,0,0,0,0,-1,0.4832894151,1,0,0,226,0,0.24591953,0.75408047,The baby needs her mom's X and Y to go to sleep.,The baby needs her mom's goodnight and lullaby to go to sleep.,The baby needs her mom's lullaby and goodnight to go to sleep.,,,"""alpha""; 28; The baby needs her mom's goodnight and lullaby to go to sleep.","""nonalpha""; 28; The baby needs her mom's lullaby and goodnight to go to sleep."
29,names,specialties,802,"Again , by *-1 spreading one 's purchases over several wine dealers , one becomes familiar with the names and specialties of reputable wine dealers and shippers abroad .",0,0,1,0,0,0,3.228674633,2,2,1,282,1,0.75400749,0.75400749,Be sure to familiarize yourself with their X and Y before going to the wine dealers.,Be sure to familiarize yourself with their names and specialties before going to the wine dealers.,Be sure to familiarize yourself with their specialties and names before going to the wine dealers.,,,"""alpha""; 29; Be sure to familiarize yourself with their names and specialties before going to the wine dealers.","""nonalpha""; 29; Be sure to familiarize yourself with their specialties and names before going to the wine dealers."
30,farms,hayfields,"A fringe of housing and gardens bearded the top of the heights , and behind it were *T*-1 sandy roads leading past farms and hayfields .","A fringe of housing and gardens bearded the top of the heights , and behind it were *T*-1 sandy roads leading past farms and hayfields .",The sandy roads leading past farms and hayfields will be paved next year.,The sandy roads leading past hayfields and farms will be paved next year.,,,,,,,,0,0,NA,0.74966634,0.74966634,The gravel roads leading past X and Y will be paved next year.,The gravel roads leading past farms and hayfields will be paved next year.,The gravel roads leading past hayfields and farms will be paved next year.,,,"""alpha""; 30; The gravel roads leading past farms and hayfields will be paved next year.","""nonalpha""; 30; The gravel roads leading past hayfields and farms will be paved next year."
31,aims,backgrounds,They have widely varying backgrounds and aims .,They have widely varying backgrounds and aims .,Participants with widely varying aims and backgrounds gathered in Rome for the conference.,Participants with widely varying backgrounds and aims gathered in Rome for the conference.,,,,,,,,0,130,0.3615384615,0.25195321,0.74804679,Participants with widely varying X and Y gathered in Rome for the conference.,Participants with widely varying aims and backgrounds gathered in Rome for the conference.,Participants with widely varying backgrounds and aims gathered in Rome for the conference.,,,"""alpha""; 31; Participants with widely varying aims and backgrounds gathered in Rome for the conference.","""nonalpha""; 31; Participants with widely varying backgrounds and aims gathered in Rome for the conference."
32,sushi,tea,1135,"When he had given the call a few moments thought *T*-3 , he went into the kitchen * to ask Mrs. Yamata *-4 to prepare tea and sushi for the visitors , *-5 using the formal English china and the silver tea service which *T*-2 had been donated *-1 to the mission , then he went outside * to inspect the grounds .",0,0,-1,0,0,0,-3.748468378,-1,-1,-1,0,NA,0.25360366,0.74639634,Kate prepared X and Y for each of her visitors.,Kate prepared sushi and tea for each of her visitors.,Kate prepared tea and sushi for each of her visitors.,,,"""alpha""; 32; Kate prepared sushi and tea for each of her visitors.","""nonalpha""; 32; Kate prepared tea and sushi for each of her visitors."
33,interconnectedness,quality,940,"As long as perception is seen *-1 as * composed *-2 only of isolated sense data , most of the quality and interconnectedness of existence loses its objectivity , becomes an invention of consciousness , and the result is a philosophical scepticism .",-1,0,0,0,0,0,-5.797965776,-3,0,0,0,NA,0.25581549,0.74418451,Leading a life of X and Y is Helen's ultimate goal.,Leading a life of interconnectedness and quality is Helen's ultimate goal.,Leading a life of quality and interconnectedness is Helen's ultimate goal.,,,"""alpha""; 33; Leading a life of interconnectedness and quality is Helen's ultimate goal.","""nonalpha""; 33; Leading a life of quality and interconnectedness is Helen's ultimate goal."
34,stalls,urinals,1099,By *-2 counting the number of stalls and urinals I attempted *-2 to form a loose estimate of how many men the hall would hold *T*-1 at one time .,0,0,1,0,0,0,2.6715669,2,2,1,133,0.6090225564,0.74390992,0.74390992,By counting the number of X and Y I attempted to form a loose estimate of how many men the hall would hold at one time.,By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time.,By counting the number of urinals and stalls I attempted to form a loose estimate of how many men the hall would hold at one time.,,,"""alpha""; 34; By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time.","""nonalpha""; 34; By counting the number of urinals and stalls I attempted to form a loose estimate of how many men the hall would hold at one time."
35,childhood,hobo,"After he had finished the first two volumes of his Lincoln , Sandburg went *-2 to work *-3 assembling a book of songs out of hobo and childhood days and from the memory of songs 0 others had taught him *T*-1 .","After he had finished the first two volumes of his Lincoln , Sandburg went *-2 to work *-3 assembling a book of songs out of hobo and childhood days and from the memory of songs 0 others had taught him *T*-1 .",Sandburg went to assemble a book of songs out of his childhood and hobo days and from the memory of songs others had taught him.,Sandburg went to assemble a book of songs out of his hobo and childhood days and from the memory of songs others had taught him.,,,,,,,,1,0,NA,0.74230114,0.74230114,Sandburg went to assemble a book of songs out of his X and Y days and from the memory of songs others had taught him.,Sandburg went to assemble a book of songs out of his childhood and hobo days and from the memory of songs others had taught him.,Sandburg went to assemble a book of songs out of his hobo and childhood days and from the memory of songs others had taught him.,,,"""alpha""; 35; Sandburg went to assemble a book of songs out of his childhood and hobo days and from the memory of songs others had taught him.","""nonalpha""; 35; Sandburg went to assemble a book of songs out of his hobo and childhood days and from the memory of songs others had taught him."
36,acknowledgment,authentication,"In addition to the authentication and acknowledgment procedures which *T*-1 precede and follow the sending of the go messages , again in special codes , each message also contains an `` internal authenticator '' , another specific signal 0 *T*-2 to convince the recipient that he is getting the real thing .","In addition to the authentication and acknowledgment procedures which *T*-1 precede and follow the sending of the go messages , again in special codes , each message also contains an `` internal authenticator '' , another specific signal 0 *T*-2 to convince the recipient that he is getting the real thing .",The system needs to go through procedures for acknowledgment and authentication before carrying out the order.,The system needs to go through procedures for authentication and acknowledgment before carrying out the order.,"Changed from ""X and Y procedures"" to avoid potential attachment ambiguity",,,,,,,0,0,NA,0.2582012,0.7417988,The system needs to go through procedures for X and Y before carrying out the order.,The system needs to go through procedures for acknowledgment and authentication before carrying out the order.,The system needs to go through procedures for authentication and acknowledgment before carrying out the order.,"Changed from ""X and Y procedures"" to avoid potential attachment ambiguity",,"""alpha""; 36; The system needs to go through procedures for acknowledgment and authentication before carrying out the order.","""nonalpha""; 36; The system needs to go through procedures for authentication and acknowledgment before carrying out the order."
37,capture,isolation,"The Kremlin 's goal is the isolation and capture , not of Ghana , but of the United States -- and this purpose may be served *-1 very well by countries that *T*-2 masquerade under a `` neutralist '' mask , yet in fact are dependable auxiliaries of the Soviet Foreign Office .","The Kremlin 's goal is the isolation and capture , not of Ghana , but of the United States -- and this purpose may be served *-1 very well by countries that *T*-2 masquerade under a `` neutralist '' mask , yet in fact are dependable auxiliaries of the Soviet Foreign Office .",All factors that might contribute to our country's capture and isolation must be eliminated as soon as possible.,All factors that might contribute to our country's isolation and capture must be eliminated as soon as possible.,too political to talk about the Kremlin right now :),,,,,,,0,121,0.4214876033,0.25906082,0.74093918,All factors that might contribute to our country's X and Y must be eliminated as soon as possible.,All factors that might contribute to our country's capture and isolation must be eliminated as soon as possible.,All factors that might contribute to our country's isolation and capture must be eliminated as soon as possible.,too political to talk about the Kremlin right now :),,"""alpha""; 37; All factors that might contribute to our country's capture and isolation must be eliminated as soon as possible.","""nonalpha""; 37; All factors that might contribute to our country's isolation and capture must be eliminated as soon as possible."
38,friends,tenants,440,"You have your paper horn clutched *-1 in your big , craggy fist , and for your entrance you have planned a noisy , colorful and exuberant greeting to your friends and tenants .",0,0,1,0,0,0,2.852664126,1,1,1,790,0.6227848101,0.73964529,0.73964529,Mrs. Green greeted her X and Y as she walked into the house.,Mrs. Green greeted her friends and tenants as she walked into the house.,Mrs. Green greeted her tenants and friends as she walked into the house.,,,"""alpha""; 38; Mrs. Green greeted her friends and tenants as she walked into the house.","""nonalpha""; 38; Mrs. Green greeted her tenants and friends as she walked into the house."
39,horse,sulky,550,"Now , * driving the horse and sulky borrowed * from Mynheer Schuyler , he felt as if every bone was topped *-1 by burning oil and that every muscle was ready * to dissolve into jelly and leave his big body helpless and unable * to move .",0,1,0,0,0,0,4.585882533,1,1,1,483,1,0.73939319,0.73939319,x,x,x,,,"""alpha""; 39; x","""nonalpha""; 39; x"
40,cabins,soddies,"The company herds were being raided *-1 less often , and cabins and soddies all over the range were standing *-2 deserted *-3 .","The company herds were being raided *-1 less often , and cabins and soddies all over the range were standing *-2 deserted *-3 .",x,x,,yes,,,,,,0,0,NA,0.73475506,0.73475506,x,x,x,,yes,"""alpha""; 40; x","""nonalpha""; 40; x"
41,eggs,poark,I eat too much eggs and poark .,I eat too much eggs and poark .,x,x,"poark might be a typo for ""pork"". not sure",yes,,,,,,0,0,NA,0.73315812,0.73315812,x,x,x,"poark might be a typo for ""pork"". not sure",yes,"""alpha""; 41; x","""nonalpha""; 41; x"
