WordA,WordB,binom,alpha_logprob,nonalpha_logprob,model,prompt_value,prompt_text,preference
ibex,sloths,ibex and sloths,-34.59148025512695,-36.06124496459961,gpt2xl,0,Next item: ,1.4697647094726562
aardvarks,ibex,aardvarks and ibex,-37.131736755371094,-38.163230895996094,gpt2xl,0,Next item: ,1.031494140625
harpies,keas,harpies and keas,-37.58039855957031,-40.527408599853516,gpt2xl,0,Next item: ,2.947010040283203
bonobos,harpies,bonobos and harpies,-35.87667465209961,-38.68400192260742,gpt2xl,0,Next item: ,2.8073272705078125
harpies,koalas,harpies and koalas,-35.14338302612305,-39.42556381225586,gpt2xl,0,Next item: ,4.2821807861328125
harpies,wombats,harpies and wombats,-36.04524612426758,-37.07658004760742,gpt2xl,0,Next item: ,1.0313339233398438
aardvarks,harpies,aardvarks and harpies,-36.55569839477539,-37.344482421875,gpt2xl,0,Next item: ,0.7887840270996094
bonobos,keas,bonobos and keas,-36.68619918823242,-41.24886703491211,gpt2xl,0,Next item: ,4.5626678466796875
keas,koalas,keas and koalas,-38.1553955078125,-34.449371337890625,gpt2xl,0,Next item: ,-3.706024169921875
keas,sloths,keas and sloths,-39.691368103027344,-37.2342529296875,gpt2xl,0,Next item: ,-2.4571151733398438
keas,wombats,keas and wombats,-40.92933654785156,-35.55012130737305,gpt2xl,0,Next item: ,-5.379215240478516
keas,lions,keas and lions,-39.27421569824219,-35.292579650878906,gpt2xl,0,Next item: ,-3.9816360473632812
aardvarks,keas,aardvarks and keas,-37.073394775390625,-42.240447998046875,gpt2xl,0,Next item: ,5.16705322265625
bonobos,wombats,bonobos and wombats,-34.79441833496094,-34.30809020996094,gpt2xl,0,Next item: ,-0.486328125
aardvarks,bonobos,aardvarks and bonobos,-35.838626861572266,-37.25489044189453,gpt2xl,0,Next item: ,1.4162635803222656
ocarinas,vibraphones,ocarinas and vibraphones,-37.75499725341797,-42.26475524902344,gpt2xl,0,Next item: ,4.509757995605469
cymbals,ocarinas,cymbals and ocarinas,-34.25712966918945,-36.25571823120117,gpt2xl,0,Next item: ,1.9985885620117188
clarinets,ocarinas,clarinets and ocarinas,-38.867130279541016,-36.33490753173828,gpt2xl,0,Next item: ,-2.5322227478027344
cellos,ocarinas,cellos and ocarinas,-36.228065490722656,-38.07838821411133,gpt2xl,0,Next item: ,1.8503227233886719
didgeridoos,vibraphones,didgeridoos and vibraphones,-42.43397521972656,-43.386531829833984,gpt2xl,0,Next item: ,0.9525566101074219
lutes,marimbas,lutes and marimbas,-38.18254089355469,-34.68418884277344,gpt2xl,0,Next item: ,-3.49835205078125
kalimbas,lutes,kalimbas and lutes,-45.05400085449219,-39.25431823730469,gpt2xl,0,Next item: ,-5.7996826171875
clarinets,kalimbas,clarinets and kalimbas,-41.65160369873047,-44.58860778808594,gpt2xl,0,Next item: ,2.9370040893554688
kalimbas,trumpets,kalimbas and trumpets,-43.175567626953125,-35.28929138183594,gpt2xl,0,Next item: ,-7.8862762451171875
cellos,kalimbas,cellos and kalimbas,-37.98013687133789,-46.412452697753906,gpt2xl,0,Next item: ,8.432315826416016
kalimbas,saxophones,kalimbas and saxophones,-45.50810241699219,-35.39665985107422,gpt2xl,0,Next item: ,-10.111442565917969
lutes,saxophones,lutes and saxophones,-34.54650115966797,-32.11376190185547,gpt2xl,0,Next item: ,-2.4327392578125
casserole,eagle,casserole and eagle,-41.10356521606445,-38.50430679321289,gpt2xl,0,Next item: ,-2.5992584228515625
kite,linguist,kite and linguist,-40.83794403076172,-39.15568542480469,gpt2xl,0,Next item: ,-1.6822586059570312
algorithm,perfume,algorithm and perfume,-38.46139907836914,-38.4550895690918,gpt2xl,0,Next item: ,-0.00630950927734375
forest,screwdriver,forest and screwdriver,-36.562015533447266,-35.591278076171875,gpt2xl,0,Next item: ,-0.9707374572753906
slipper,volcano,slipper and volcano,-39.299442291259766,-38.40412902832031,gpt2xl,0,Next item: ,-0.8953132629394531
harmonica,microscope,harmonica and microscope,-40.70882797241211,-38.750274658203125,gpt2xl,0,Next item: ,-1.9585533142089844
cookbook,zenith,cookbook and zenith,-43.0350341796875,-45.77373504638672,gpt2xl,0,Next item: ,2.7387008666992188
hammock,hydrogen,hammock and hydrogen,-37.69188690185547,-40.31509780883789,gpt2xl,0,Next item: ,2.623210906982422
neuron,toaster,neuron and toaster,-39.474937438964844,-39.1505126953125,gpt2xl,0,Next item: ,-0.32442474365234375
marshmallow,telescope,marshmallow and telescope,-37.09236526489258,-37.462772369384766,gpt2xl,0,Next item: ,0.3704071044921875
casserole,optics,casserole and optics,-41.782981872558594,-41.83686828613281,gpt2xl,0,Next item: ,0.05388641357421875
comet,encyclopedia,comet and encyclopedia,-37.87713623046875,-38.50559997558594,gpt2xl,0,Next item: ,0.6284637451171875
nimbus,waffle,nimbus and waffle,-37.54522705078125,-41.06637191772461,gpt2xl,0,Next item: ,3.5211448669433594
photon,pumpkin,photon and pumpkin,-38.86154556274414,-37.9962158203125,gpt2xl,0,Next item: ,-0.8653297424316406
lantern,syntax,lantern and syntax,-38.93219757080078,-38.53559875488281,gpt2xl,0,Next item: ,-0.39659881591796875
echo,vineyard,echo and vineyard,-40.96575164794922,-38.708404541015625,gpt2xl,0,Next item: ,-2.2573471069335938
nebula,snowman,nebula and snowman,-38.092979431152344,-38.73706817626953,gpt2xl,0,Next item: ,0.6440887451171875
botany,teapot,botany and teapot,-41.705142974853516,-38.53105926513672,gpt2xl,0,Next item: ,-3.174083709716797
chisel,kaleidoscope,chisel and kaleidoscope,-38.43712615966797,-39.86878967285156,gpt2xl,0,Next item: ,1.4316635131835938
lava,teacup,lava and teacup,-39.269920349121094,-37.383235931396484,gpt2xl,0,Next item: ,-1.8866844177246094
entropy,orchard,entropy and orchard,-39.786643981933594,-39.33613586425781,gpt2xl,0,Next item: ,-0.45050811767578125
axolotl,vineyard,axolotl and vineyard,-42.74739074707031,-40.0644645690918,gpt2xl,0,Next item: ,-2.6829261779785156
clockwork,meadow,clockwork and meadow,-37.653499603271484,-40.08210754394531,gpt2xl,0,Next item: ,2.428607940673828
algebra,telescope,algebra and telescope,-36.90185546875,-36.76170349121094,gpt2xl,0,Next item: ,-0.1401519775390625
arcade,topaz,arcade and topaz,-42.77050018310547,-39.37885284423828,gpt2xl,0,Next item: ,-3.3916473388671875
asteroid,compass,asteroid and compass,-35.852455139160156,-34.99530792236328,gpt2xl,0,Next item: ,-0.857147216796875
bicycle,nebula,bicycle and nebula,-39.20723342895508,-36.90068817138672,gpt2xl,0,Next item: ,-2.3065452575683594
bungalow,entropy,bungalow and entropy,-41.6987419128418,-39.32840347290039,gpt2xl,0,Next item: ,-2.3703384399414062
carnation,gnome,carnation and gnome,-37.87009811401367,-40.25206756591797,gpt2xl,0,Next item: ,2.381969451904297
cinnamon,harmonica,cinnamon and harmonica,-35.50665283203125,-40.01689910888672,gpt2xl,0,Next item: ,4.510246276855469
coral,syntax,coral and syntax,-37.03679656982422,-37.757511138916016,gpt2xl,0,Next item: ,0.7207145690917969
dandelion,pendulum,dandelion and pendulum,-38.36393737792969,-37.154502868652344,gpt2xl,0,Next item: ,-1.2094345092773438
delirium,telescope,delirium and telescope,-40.498085021972656,-41.34587860107422,gpt2xl,0,Next item: ,0.8477935791015625
anchors,sandstorms,anchors and sandstorms,-41.65760803222656,-39.92359161376953,gpt2xl,0,Next item: ,-1.7340164184570312
scissors,volcanoes,scissors and volcanoes,-40.25337600708008,-37.24354553222656,gpt2xl,0,Next item: ,-3.0098304748535156
equations,lanterns,equations and lanterns,-39.89754104614258,-37.8236198425293,gpt2xl,0,Next item: ,-2.0739212036132812
satellites,tulips,satellites and tulips,-38.702056884765625,-36.49774169921875,gpt2xl,0,Next item: ,-2.204315185546875
compasses,hedgehogs,compasses and hedgehogs,-38.217308044433594,-35.293540954589844,gpt2xl,0,Next item: ,-2.92376708984375
comets,neckties,comets and neckties,-41.946067810058594,-42.4720344543457,gpt2xl,0,Next item: ,0.5259666442871094
castles,headphones,castles and headphones,-36.32389831542969,-37.028236389160156,gpt2xl,0,Next item: ,0.7043380737304688
paperclips,pyramids,paperclips and pyramids,-33.68022918701172,-38.24700927734375,gpt2xl,0,Next item: ,4.566780090332031
constellations,kettles,constellations and kettles,-39.09246063232422,-40.66042709350586,gpt2xl,0,Next item: ,1.5679664611816406
kaleidoscopes,whales,kaleidoscopes and whales,-41.107479095458984,-40.822025299072266,gpt2xl,0,Next item: ,-0.28545379638671875
meadows,pianos,meadows and pianos,-37.54854965209961,-35.72755432128906,gpt2xl,0,Next item: ,-1.8209953308105469
magnets,zebras,magnets and zebras,-34.884700775146484,-36.89722442626953,gpt2xl,0,Next item: ,2.012523651123047
parrots,submarines,parrots and submarines,-35.012325286865234,-37.86980056762695,gpt2xl,0,Next item: ,2.8574752807617188
crayons,jungles,crayons and jungles,-43.09717559814453,-42.016700744628906,gpt2xl,0,Next item: ,-1.080474853515625
harbor,teapot,harbor and teapot,-38.530208587646484,-39.614768981933594,gpt2xl,0,Next item: ,1.0845603942871094
notebook,quicksand,notebook and quicksand,-39.02854919433594,-37.99296951293945,gpt2xl,0,Next item: ,-1.0355796813964844
glacier,lantern,glacier and lantern,-37.72688293457031,-37.52748107910156,gpt2xl,0,Next item: ,-0.19940185546875
microscope,puddle,microscope and puddle,-39.64900588989258,-39.9426383972168,gpt2xl,0,Next item: ,0.29363250732421875
compass,swan,compass and swan,-38.94773864746094,-35.62049102783203,gpt2xl,0,Next item: ,-3.3272476196289062
bonsai,cathedral,bonsai and cathedral,-40.00028991699219,-38.79147720336914,gpt2xl,0,Next item: ,-1.2088127136230469
honeycomb,violin,honeycomb and violin,-35.23861312866211,-34.10481262207031,gpt2xl,0,Next item: ,-1.1338005065917969
sailboat,stadium,sailboat and stadium,-36.203521728515625,-35.9245719909668,gpt2xl,0,Next item: ,-0.2789497375488281
acorns,skyscrapers,acorns and skyscrapers,-41.20827865600586,-38.662506103515625,gpt2xl,0,Next item: ,-2.5457725524902344
bell,trellis,bell and trellis,-36.384185791015625,-34.40141296386719,gpt2xl,0,Next item: ,-1.9827728271484375
inkwell,kite,inkwell and kite,-38.9032096862793,-41.65995788574219,gpt2xl,0,Next item: ,2.7567481994628906
foxglove,trombone,foxglove and trombone,-40.9190673828125,-40.62936782836914,gpt2xl,0,Next item: ,-0.2896995544433594
carousel,quill,carousel and quill,-38.61747360229492,-37.270668029785156,gpt2xl,0,Next item: ,-1.3468055725097656
lighthouse,onion,lighthouse and onion,-40.08256530761719,-37.56753158569336,gpt2xl,0,Next item: ,-2.515033721923828
cactus,chessboard,cactus and chessboard,-37.7833251953125,-38.38046646118164,gpt2xl,0,Next item: ,0.5971412658691406
gallery,raindrop,gallery and raindrop,-39.74009323120117,-37.82373046875,gpt2xl,0,Next item: ,-1.9163627624511719
cricket,plow,cricket and plow,-37.18437957763672,-36.85231399536133,gpt2xl,0,Next item: ,-0.3320655822753906
fresco,gingerbread,fresco and gingerbread,-39.43861389160156,-40.05128479003906,gpt2xl,0,Next item: ,0.6126708984375
cello,sunflower,cello and sunflower,-37.8408317565918,-37.70673370361328,gpt2xl,0,Next item: ,-0.13409805297851562
archway,quilt,archway and quilt,-39.50139617919922,-39.93939208984375,gpt2xl,0,Next item: ,0.43799591064453125
compass,haystack,compass and haystack,-35.113948822021484,-36.100528717041016,gpt2xl,0,Next item: ,0.9865798950195312
beacon,millipede,beacon and millipede,-39.377418518066406,-39.96949768066406,gpt2xl,0,Next item: ,0.5920791625976562
parchment,windmill,parchment and windmill,-36.825347900390625,-35.118316650390625,gpt2xl,0,Next item: ,-1.70703125
candlestick,meadow,candlestick and meadow,-38.51056671142578,-37.79263687133789,gpt2xl,0,Next item: ,-0.7179298400878906
kiwis,wolverines,kiwis and wolverines,-32.13928985595703,-30.108951568603516,gpt2xl,1,example: ,-2.0303382873535156
kiwis,narwhals,kiwis and narwhals,-30.883731842041016,-29.52505874633789,gpt2xl,1,example: ,-1.358673095703125
kiwis,ocelots,kiwis and ocelots,-32.00940704345703,-31.74492645263672,gpt2xl,1,example: ,-0.2644805908203125
ibex,kiwis,ibex and kiwis,-31.275867462158203,-31.833677291870117,gpt2xl,1,example: ,0.5578098297119141
harpies,kiwis,harpies and kiwis,-31.93292808532715,-35.53718185424805,gpt2xl,1,example: ,3.6042537689208984
axolotls,wolverines,axolotls and wolverines,-38.93048095703125,-30.68247413635254,gpt2xl,1,example: ,-8.248006820678711
axolotls,ibex,axolotls and ibex,-33.90836715698242,-34.74083709716797,gpt2xl,1,example: ,0.8324699401855469
axolotls,harpies,axolotls and harpies,-38.27017593383789,-32.180137634277344,gpt2xl,1,example: ,-6.090038299560547
axolotls,keas,axolotls and keas,-38.37527084350586,-39.401939392089844,gpt2xl,1,example: ,1.0266685485839844
axolotls,bonobos,axolotls and bonobos,-34.15499496459961,-31.472164154052734,gpt2xl,1,example: ,-2.682830810546875
axolotls,wombats,axolotls and wombats,-38.0334587097168,-32.61764907836914,gpt2xl,1,example: ,-5.415809631347656
axolotls,lions,axolotls and lions,-35.58402633666992,-30.903287887573242,gpt2xl,1,example: ,-4.68073844909668
ocelots,platypuses,ocelots and platypuses,-30.135488510131836,-31.550352096557617,gpt2xl,1,example: ,1.4148635864257812
ibex,platypuses,ibex and platypuses,-34.53015899658203,-31.51548194885254,gpt2xl,1,example: ,-3.014677047729492
harpies,platypuses,harpies and platypuses,-30.05950355529785,-32.03120040893555,gpt2xl,1,example: ,1.9716968536376953
keas,platypuses,keas and platypuses,-36.98328399658203,-32.238040924072266,gpt2xl,1,example: ,-4.745243072509766
bonobos,platypuses,bonobos and platypuses,-28.786544799804688,-31.51439094543457,gpt2xl,1,example: ,2.727846145629883
harpies,wolverines,harpies and wolverines,-31.089006423950195,-28.837175369262695,gpt2xl,1,example: ,-2.2518310546875
keas,wolverines,keas and wolverines,-40.019996643066406,-32.26141357421875,gpt2xl,1,example: ,-7.758583068847656
bonobos,wolverines,bonobos and wolverines,-29.750492095947266,-30.419235229492188,gpt2xl,1,example: ,0.6687431335449219
capybaras,ibex,capybaras and ibex,-32.6960334777832,-33.52001953125,gpt2xl,1,example: ,0.8239860534667969
capybaras,harpies,capybaras and harpies,-33.19086456298828,-31.420236587524414,gpt2xl,1,example: ,-1.7706279754638672
capybaras,keas,capybaras and keas,-34.21236801147461,-38.39138412475586,gpt2xl,1,example: ,4.17901611328125
ibex,narwhals,ibex and narwhals,-32.54855728149414,-28.167617797851562,gpt2xl,1,example: ,-4.380939483642578
harpies,narwhals,harpies and narwhals,-31.46346092224121,-31.48636245727539,gpt2xl,1,example: ,0.022901535034179688
keas,narwhals,keas and narwhals,-36.3134880065918,-31.647518157958984,gpt2xl,1,example: ,-4.6659698486328125
ibex,ocelots,ibex and ocelots,-33.2811279296875,-29.249359130859375,gpt2xl,1,example: ,-4.031768798828125
keas,ocelots,keas and ocelots,-37.95124435424805,-32.21232604980469,gpt2xl,1,example: ,-5.738918304443359
bonobos,ocelots,bonobos and ocelots,-28.40381622314453,-30.625816345214844,gpt2xl,1,example: ,2.2220001220703125
harpies,ibex,harpies and ibex,-33.749568939208984,-32.38346481323242,gpt2xl,1,example: ,-1.3661041259765625
ibex,keas,ibex and keas,-34.05028533935547,-36.76778030395508,gpt2xl,1,example: ,2.7174949645996094
bonobos,ibex,bonobos and ibex,-27.85774040222168,-31.552879333496094,gpt2xl,1,example: ,3.695138931274414
ibex,koalas,ibex and koalas,-30.521770477294922,-28.097633361816406,gpt2xl,1,example: ,-2.4241371154785156
ibex,sloths,ibex and sloths,-35.17433547973633,-30.660066604614258,gpt2xl,1,example: ,-4.51426887512207
aardvarks,ibex,aardvarks and ibex,-30.99818229675293,-35.056766510009766,gpt2xl,1,example: ,4.058584213256836
harpies,keas,harpies and keas,-35.016780853271484,-41.04863739013672,gpt2xl,1,example: ,6.031856536865234
bonobos,harpies,bonobos and harpies,-29.23548698425293,-35.43708801269531,gpt2xl,1,example: ,6.201601028442383
harpies,koalas,harpies and koalas,-31.095903396606445,-33.03741455078125,gpt2xl,1,example: ,1.9415111541748047
harpies,wombats,harpies and wombats,-32.47770309448242,-31.990386962890625,gpt2xl,1,example: ,-0.4873161315917969
aardvarks,harpies,aardvarks and harpies,-30.7542667388916,-31.9753360748291,gpt2xl,1,example: ,1.2210693359375
bonobos,keas,bonobos and keas,-30.83660316467285,-35.56257247924805,gpt2xl,1,example: ,4.725969314575195
keas,koalas,keas and koalas,-35.151546478271484,-27.55265235900879,gpt2xl,1,example: ,-7.598894119262695
keas,sloths,keas and sloths,-42.1579475402832,-32.180091857910156,gpt2xl,1,example: ,-9.977855682373047
keas,wombats,keas and wombats,-38.59482192993164,-30.699867248535156,gpt2xl,1,example: ,-7.894954681396484
keas,lions,keas and lions,-34.35054016113281,-29.12616539001465,gpt2xl,1,example: ,-5.224374771118164
aardvarks,keas,aardvarks and keas,-31.843910217285156,-37.4921760559082,gpt2xl,1,example: ,5.648265838623047
bonobos,wombats,bonobos and wombats,-28.91457176208496,-30.252334594726562,gpt2xl,1,example: ,1.3377628326416016
aardvarks,bonobos,aardvarks and bonobos,-30.987028121948242,-29.548112869262695,gpt2xl,1,example: ,-1.4389152526855469
ocarinas,vibraphones,ocarinas and vibraphones,-32.67039108276367,-34.87614822387695,gpt2xl,1,example: ,2.2057571411132812
cymbals,ocarinas,cymbals and ocarinas,-28.295995712280273,-31.543994903564453,gpt2xl,1,example: ,3.2479991912841797
clarinets,ocarinas,clarinets and ocarinas,-29.53995704650879,-31.25403594970703,gpt2xl,1,example: ,1.7140789031982422
cellos,ocarinas,cellos and ocarinas,-30.573299407958984,-31.83642578125,gpt2xl,1,example: ,1.2631263732910156
didgeridoos,vibraphones,didgeridoos and vibraphones,-30.323074340820312,-36.77865219116211,gpt2xl,1,example: ,6.455577850341797
lutes,marimbas,lutes and marimbas,-32.412261962890625,-33.40644454956055,gpt2xl,1,example: ,0.9941825866699219
kalimbas,lutes,kalimbas and lutes,-42.60552215576172,-34.041534423828125,gpt2xl,1,example: ,-8.563987731933594
clarinets,kalimbas,clarinets and kalimbas,-31.27042579650879,-41.728267669677734,gpt2xl,1,example: ,10.457841873168945
kalimbas,trumpets,kalimbas and trumpets,-42.17269515991211,-29.881847381591797,gpt2xl,1,example: ,-12.290847778320312
cellos,kalimbas,cellos and kalimbas,-32.74285125732422,-42.48684310913086,gpt2xl,1,example: ,9.74399185180664
kalimbas,saxophones,kalimbas and saxophones,-42.40629959106445,-29.71232795715332,gpt2xl,1,example: ,-12.693971633911133
lutes,saxophones,lutes and saxophones,-28.239534378051758,-27.646760940551758,gpt2xl,1,example: ,-0.5927734375
casserole,eagle,casserole and eagle,-34.998199462890625,-31.92637825012207,gpt2xl,1,example: ,-3.0718212127685547
kite,linguist,kite and linguist,-33.371212005615234,-33.07903289794922,gpt2xl,1,example: ,-0.2921791076660156
algorithm,perfume,algorithm and perfume,-32.19398498535156,-32.744075775146484,gpt2xl,1,example: ,0.5500907897949219
forest,screwdriver,forest and screwdriver,-31.47295570373535,-31.011220932006836,gpt2xl,1,example: ,-0.4617347717285156
slipper,volcano,slipper and volcano,-35.5080451965332,-32.8532600402832,gpt2xl,1,example: ,-2.65478515625
harmonica,microscope,harmonica and microscope,-32.155799865722656,-32.08189010620117,gpt2xl,1,example: ,-0.07390975952148438
cookbook,zenith,cookbook and zenith,-36.37815475463867,-37.0683708190918,gpt2xl,1,example: ,0.690216064453125
hammock,hydrogen,hammock and hydrogen,-33.217987060546875,-37.256378173828125,gpt2xl,1,example: ,4.03839111328125
neuron,toaster,neuron and toaster,-31.856060028076172,-33.00957489013672,gpt2xl,1,example: ,1.1535148620605469
marshmallow,telescope,marshmallow and telescope,-32.32416915893555,-30.933446884155273,gpt2xl,1,example: ,-1.3907222747802734
casserole,optics,casserole and optics,-35.70224380493164,-34.86776351928711,gpt2xl,1,example: ,-0.8344802856445312
comet,encyclopedia,comet and encyclopedia,-30.121713638305664,-32.765968322753906,gpt2xl,1,example: ,2.644254684448242
nimbus,waffle,nimbus and waffle,-31.125526428222656,-31.95952796936035,gpt2xl,1,example: ,0.8340015411376953
photon,pumpkin,photon and pumpkin,-30.76193618774414,-32.33060836791992,gpt2xl,1,example: ,1.5686721801757812
lantern,syntax,lantern and syntax,-31.346595764160156,-32.105857849121094,gpt2xl,1,example: ,0.7592620849609375
echo,vineyard,echo and vineyard,-32.845802307128906,-31.092853546142578,gpt2xl,1,example: ,-1.7529487609863281
nebula,snowman,nebula and snowman,-30.978740692138672,-30.7287540435791,gpt2xl,1,example: ,-0.2499866485595703
botany,teapot,botany and teapot,-34.89488983154297,-31.677087783813477,gpt2xl,1,example: ,-3.217802047729492
chisel,kaleidoscope,chisel and kaleidoscope,-34.35856246948242,-34.7091064453125,gpt2xl,1,example: ,0.3505439758300781
lava,teacup,lava and teacup,-32.9095458984375,-31.41775894165039,gpt2xl,1,example: ,-1.4917869567871094
entropy,orchard,entropy and orchard,-33.514862060546875,-31.77557373046875,gpt2xl,1,example: ,-1.739288330078125
axolotl,vineyard,axolotl and vineyard,-35.50974655151367,-32.29077911376953,gpt2xl,1,example: ,-3.2189674377441406
clockwork,meadow,clockwork and meadow,-31.427967071533203,-32.93610382080078,gpt2xl,1,example: ,1.5081367492675781
algebra,telescope,algebra and telescope,-32.376590728759766,-30.538135528564453,gpt2xl,1,example: ,-1.8384552001953125
arcade,topaz,arcade and topaz,-35.87871551513672,-33.82380676269531,gpt2xl,1,example: ,-2.0549087524414062
asteroid,compass,asteroid and compass,-29.08783531188965,-29.733675003051758,gpt2xl,1,example: ,0.6458396911621094
bicycle,nebula,bicycle and nebula,-33.38547134399414,-31.530363082885742,gpt2xl,1,example: ,-1.8551082611083984
bungalow,entropy,bungalow and entropy,-35.83721160888672,-34.15510940551758,gpt2xl,1,example: ,-1.6821022033691406
carnation,gnome,carnation and gnome,-32.53581619262695,-33.24034881591797,gpt2xl,1,example: ,0.7045326232910156
cinnamon,harmonica,cinnamon and harmonica,-29.362667083740234,-31.561859130859375,gpt2xl,1,example: ,2.1991920471191406
coral,syntax,coral and syntax,-30.689205169677734,-31.78289031982422,gpt2xl,1,example: ,1.0936851501464844
dandelion,pendulum,dandelion and pendulum,-31.784881591796875,-30.944324493408203,gpt2xl,1,example: ,-0.8405570983886719
delirium,telescope,delirium and telescope,-35.50566482543945,-34.757076263427734,gpt2xl,1,example: ,-0.7485885620117188
anchors,sandstorms,anchors and sandstorms,-36.47275924682617,-34.81057357788086,gpt2xl,1,example: ,-1.6621856689453125
scissors,volcanoes,scissors and volcanoes,-34.280799865722656,-32.534942626953125,gpt2xl,1,example: ,-1.7458572387695312
equations,lanterns,equations and lanterns,-35.29370880126953,-33.71276092529297,gpt2xl,1,example: ,-1.5809478759765625
satellites,tulips,satellites and tulips,-30.614866256713867,-30.4254150390625,gpt2xl,1,example: ,-0.1894512176513672
compasses,hedgehogs,compasses and hedgehogs,-32.999229431152344,-32.25373840332031,gpt2xl,1,example: ,-0.7454910278320312
comets,neckties,comets and neckties,-36.27091979980469,-37.53835678100586,gpt2xl,1,example: ,1.2674369812011719
castles,headphones,castles and headphones,-31.13173484802246,-33.07482147216797,gpt2xl,1,example: ,1.9430866241455078
paperclips,pyramids,paperclips and pyramids,-27.313932418823242,-29.138328552246094,gpt2xl,1,example: ,1.8243961334228516
constellations,kettles,constellations and kettles,-37.071807861328125,-35.040592193603516,gpt2xl,1,example: ,-2.0312156677246094
kaleidoscopes,whales,kaleidoscopes and whales,-37.170372009277344,-35.7515983581543,gpt2xl,1,example: ,-1.4187736511230469
meadows,pianos,meadows and pianos,-29.833465576171875,-30.949054718017578,gpt2xl,1,example: ,1.1155891418457031
